condition,DRUG_NAME,spearman_r,p_value,n_cells,kg_active
ChEMBL_off,GDC0810,0.07097057236995319,0.3357487905013712,186,True
ChEMBL_off,Vismodegib,0.06524917368705689,0.372377919969233,189,True
ChEMBL_off,Olaparib,0.33910307684103874,1.813583028062614e-06,189,True
ChEMBL_off,Gemcitabine,0.5042558609517307,1.6117292701367331e-13,188,True
ChEMBL_off,Paclitaxel,0.20425952112209422,0.0051660327408461935,186,True
ChEMBL_off,Zoledronate,-0.15204843134275295,0.08178486080074152,132,True
ChEMBL_off,AMG-319,0.01586563028000287,0.8298193958022777,186,True
ChEMBL_off,Buparlisib,0.33108100232696286,3.916762641599067e-06,186,True
ChEMBL_off,MK-1775,0.6388713978525835,4.550786132337199e-23,189,True
ChEMBL_off,Niraparib,0.34157949694982326,5.147979773743536e-06,170,True
ChEMBL_off,Mitoxantrone,0.5745174873338794,5.892311850895354e-13,132,True
ChEMBL_off,Pictilisib,0.20848368740350004,0.0038946194057874967,190,True
ChEMBL_off,Venetoclax,0.2662243751427812,0.0002398626072368645,186,True
ChEMBL_off,Refametinib,0.5167937574432536,2.6856539749678803e-14,189,True
ChEMBL_off,Bicalutamide,-0.0018322762508809016,0.9905819477187676,44,True
ChEMBL_off,VE821,0.37531714913119085,1.3033144122047465e-07,186,False
ChEMBL_off,SB216763,0.018489020366367053,0.801690611690099,187,False
ChEMBL_off,EPZ004777,0.029534718985241817,0.6882282048710449,187,False
ChEMBL_off,GSK343,0.005422910313521319,0.9236276473163363,315,False
ChEMBL_off,BPD-00008900,-0.06327743662415367,0.4495745015458268,145,False
ChEMBL_off,JNK Inhibitor VIII,0.06114217658212677,0.40965974056838284,184,False
ChEMBL_off,AZD7762,0.4291196106570163,8.906545133677215e-10,187,False
ChEMBL_off,Bleomycin,0.07867343584499067,0.36988823272734406,132,False
ChEMBL_off,AZD3759,0.0890328658525747,0.2231097807713018,189,False
ChEMBL_off,AZD1332,0.15403842033849888,0.07668209387354544,133,False
ChEMBL_off,50869,0.045326710252383204,0.605800964205478,132,False
ChEMBL_off,BDF00022089a,-0.15526518664629294,0.07545454063909603,132,False
ChEMBL_off,JAK_8517,0.2889278828006243,0.0007439235828142935,133,False
ChEMBL_off,Gallibiscoquinazole,-0.12464193098986188,0.1544563861915904,132,False
ChEMBL_off,PCI-34051,0.17694689211717077,0.020980848881267427,170,False
ChEMBL_off,BIBR-1532,0.13599485288289842,0.06419439660583173,186,False
ChEMBL_off,CHIR-99021,0.3630725863284002,0.015421871007928597,44,False
ChEMBL_off,PD0325901,0.5529035354343306,1.5930936765635535e-16,189,False
ChEMBL_off,GSK2256098C,-0.17071999916515784,0.050328572676048164,132,False
ChEMBL_off,150412,-0.08164234319316681,0.3520437767138813,132,False
DRKG_off,Vinblastine,0.6947252401196662,3.2699760061711353e-22,145,True
DRKG_off,Pevonedistat,0.5923176205428522,8.288745345829005e-19,184,True
DRKG_off,Dactinomycin,0.8619977448312713,1.164144246872867e-94,316,True
DRKG_off,VE-822,0.2457740243403497,0.0012354927050268801,170,True
DRKG_off,ERK_2440,0.3154477101845523,0.00021690333216993276,133,True
DRKG_off,Lenalidomide,0.018688565385093944,0.798535300943712,189,True
DRKG_off,Epirubicin,0.455056436460611,6.786336978791912e-11,186,True
DRKG_off,GSK2110183B,0.14006563946298778,0.10919261115291327,132,True
DRKG_off,Lestaurtinib,0.5097666070858368,9.235036449452605e-14,187,True
DRKG_off,Veliparib,0.06987681970884659,0.339353711390854,189,True
DRKG_off,Linsitinib,0.3382023344476411,2.06558519526151e-06,188,True
DRKG_off,Ibrutinib,0.2942179883681496,0.00010836079021210185,168,True
DRKG_off,Uprosertib,0.2531539086105233,5.194646370456058e-06,316,True
DRKG_off,Selumetinib,0.4584075936668643,3.9001456234961546e-18,322,True
DRKG_off,BEN,0.37298969099092405,1.0598504268351142e-05,132,True
DRKG_off,Foretinib,0.32640461748621136,5.449143323668317e-06,186,True
DRKG_off,Nelarabine,0.09129520539725439,0.29782834914416423,132,True
DRKG_off,AZD8186,0.32612115306612455,5.558335514457645e-06,186,True
DRKG_off,Doramapimod,0.004259356453631556,0.9538636989465931,187,True
DRKG_off,Methotrexate,0.31223838947578236,2.8879718787990722e-05,173,True
DRKG_off,Trametinib,0.6421212605983043,2.3404551167985462e-23,189,True
DRKG_off,Sapitinib,0.4181827230898074,2.1297955961671036e-09,189,True
DRKG_off,Nilotinib,0.11632235320874872,0.11484410799165631,185,True
DRKG_off,Sorafenib,0.3599876916764962,4.4948563627475285e-07,186,True
DRKG_off,AZD6482,-0.022966507177033493,0.8665743280631628,56,True
DRKG_off,Tanespimycin,0.23762964042628434,0.000993059792839571,189,True
DRKG_off,5-Fluorouracil,0.28346170837215207,7.399476538417448e-05,190,True
DRKG_off,Vorinostat,0.5995489229572156,1.234509053159131e-19,187,True
DRKG_off,Dasatinib,0.5447122756259176,6.434830951378715e-16,188,True
DRKG_off,Entinostat,0.5111791105671156,9.062012295653559e-13,171,True
DRKG_off,SN-38,0.385823188076004,4.549764870098249e-08,188,True
DRKG_off,Palbociclib,0.3071510832715079,1.628809210108069e-05,190,True
DRKG_off,Dinaciclib,0.5203742038702744,3.5103318394121363e-13,170,True
DRKG_off,Alisertib,0.41408757296141474,5.123781014770834e-09,184,True
DRKG_off,Navitoclax,0.47906765167718607,2.709209877665611e-12,190,True
DRKG_off,Bleomycin (50 uM),0.44349409515750027,1.846851996454102e-08,147,True
DRKG_off,Gefitinib,0.053139321830023914,0.47131118382037795,186,True
DRKG_off,Tretinoin,0.16405919661733614,0.28726175511597285,44,True
DRKG_off,AZD1208,0.004936004132468575,0.9552053248346265,132,True
DRKG_off,Obatoclax Mesylate,0.40497072583731464,2.4998146522831147e-07,151,True
DRKG_off,Ribociclib,0.01347824752080071,0.854342774344971,188,True
DRKG_off,Bosutinib,0.13607778311025792,0.06189547995878376,189,True
DRKG_off,Avagacestat,0.15106300816893373,0.0379941136876762,189,True
DRKG_off,Rapamycin,0.14908077783253101,0.04283591921558864,185,True
DRKG_off,Dactolisib,0.2659017478751824,0.00024423628021378777,186,True
DRKG_off,Romidepsin,-0.02478959369276765,0.7778321628352268,132,True
DRKG_off,PLX-4720,0.1906643231121409,0.00914079818712066,186,True
DRKG_off,Fludarabine,0.2958367466201937,0.0005731744946382893,132,True
DRKG_off,RVX-208,-0.004033932418503084,0.9583627954803976,170,True
DRKG_off,Rucaparib,0.029293090883236464,0.6890624493277486,189,True
DRKG_off,BMS-754807,0.3868394390230897,3.831240448947733e-08,189,True
DRKG_off,Fulvestrant,0.031798782992654866,0.5714902903123066,319,True
DRKG_off,MK-2206,0.28448345995879754,6.950744555807132e-05,190,True
DRKG_off,Entospletinib,-0.014507727725160449,0.851055452948754,170,True
DRKG_off,Temsirolimus,0.13746514810127886,0.06574098819631727,180,True
DRKG_off,Erlotinib,0.2325102500427889,0.0014484961887547688,185,True
DRKG_off,glutathione,0.06073649622394683,0.46184067244308924,149,True
DRKG_off,OSI-027,0.095337425750442,0.1931047427801983,188,True
DRKG_off,Bortezomib,0.2910704045428903,5.565136980033958e-05,186,True
DRKG_off,CCT-018159,-0.10176180408738549,0.510995383265451,44,True
DRKG_off,Vinorelbine,0.5765014185620588,5.928630916417178e-18,187,True
DRKG_off,Docetaxel,0.6141729558492727,3.7532488265081e-34,316,True
DRKG_off,Cisplatin,0.48994355304680215,1.9747555392854437e-10,150,True
DRKG_off,AZD2014,0.21936115730302688,0.011184073130968041,133,True
DRKG_off,Alpelisib,0.2577967041815298,0.00036792908624562503,187,True
DRKG_off,Savolitinib,0.1009776725146744,0.1702578149622193,186,True
DRKG_off,Ipatasertib,0.18527476933549042,0.011349971876242622,186,True
DRKG_off,Taselisib,0.34952096553440337,8.239216938267857e-07,189,True
DRKG_off,Camptothecin,0.6176078494107609,2.919526602227896e-21,189,True
DRKG_off,Talazoparib,0.43271104203783034,7.689079603654171e-10,185,True
DRKG_off,Crizotinib,0.47250750990952567,6.667614504165822e-12,189,True
DRKG_off,Motesanib,-0.01110489481900553,0.8794559360365966,189,True
DRKG_off,Cytarabine,0.4958116831994961,2.2831080282458223e-10,145,True
DRKG_off,Axitinib,0.5045663804902327,1.3339379746673357e-13,189,True
DRKG_off,Tozasertib,0.478879015721121,0.00018878149813592968,56,True
DRKG_off,Irinotecan,0.5587152562403884,9.616733960033039e-17,187,True
DRKG_off,Acetalax,0.43921697787111375,7.07510631943215e-14,264,True
