DRUG_ID,DRUG_NAME,drug_key,canonical_smiles,smiles,inchikey,pubchem_cid,has_ChEMBL,has_DRKG,has_PrimeKG
564,K-Ras(G12C)-inhibitor-6,BRD-K26305185-001-02-1,O=C(CCCS)NC1CCN(C(=O)COc2ccc(Cl)cc2Cl)CC1,SCCCC(=O)NC1CCN(CC1)C(=O)COc1ccc(Cl)cc1Cl,ZPXCEHMKUTXHRZ-UHFFFAOYSA-N,,0,0,0
565,carboxypyridine-disulfide,BRD-K26530649-001-01-6,O=C(O)c1ccc(SSc2ccc(C(=O)O)cn2)nc1,OC(=O)c1ccc(SSc2ccc(cn2)C(O)=O)nc1,GSASOFRDSIKDSN-UHFFFAOYSA-N,,0,0,0
566,EPZ-5676,BRD-K26531771-001-02-2,CC(C)N(C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@H]1C[C@@H](CCc2nc3cc(C(C)(C)C)ccc3[nH]2)C1,CC(C)N(C[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12)[C@@H]1C[C@H](CCc2nc3cc(ccc3[nH]2)C(C)(C)C)C1,LXFOLMYKSYSZQS-LURJZOHASA-N,,0,0,0
567,PD-153035,BRD-K26603252-003-04-9,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,LSPANGZZENHZNJ-UHFFFAOYSA-N,,0,0,0
568,thiocolchicoside,BRD-K26619122-001-02-1,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2c(c1OC)-c1ccc(SC)c(=O)cc1[C@@H](NC(C)=O)CC2,COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2CC[C@H](NC(C)=O)c3cc(=O)c(SC)ccc3-c2c1OC,LEQAKWQJCITZNK-AXHKHJLKSA-N,,0,0,1
569,tilmicosin,BRD-K26634012-001-04-9,CC[C@@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@H](N(C)C)[C@H]2O)[C@@H](CCN2C[C@H](C)C[C@H](C)C2)C[C@@H](C)C(=O)/C=C/C(C)=C\[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,CC[C@@H]1OC(=O)C[C@@H](O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)[C@@H](O)[C@@H]([C@H]2O)N(C)C)[C@@H](CCN2C[C@@H](C)C[C@@H](C)C2)C[C@@H](C)C(=O)\C=C\C(C)=C/[C@@H]1CO[C@@H]1O[C@H](C)[C@@H](O)[C@@H](OC)[C@H]1OC,JTSDBFGMPLKDCD-NXYWBGGVSA-N,,0,0,1
570,imiquimod,BRD-K26657438-001-15-2,CC(C)Cn1cnc2c(N)nc3ccccc3c21,CC(C)Cn1cnc2c(N)nc3ccccc3c12,DOUYETYNHWVLEO-UHFFFAOYSA-N,,1,0,1
571,TAK-733,BRD-K26667523-001-02-5,Cn1c(=O)c(F)c(Nc2ccc(I)cc2F)c2c(=O)n(C[C@@H](O)CO)cnc21,Cn1c2ncn(C[C@@H](O)CO)c(=O)c2c(Nc2ccc(I)cc2F)c(F)c1=O,RCLQNICOARASSR-SECBINFHSA-N,,1,0,0
572,VX-765,BRD-K26712974-001-01-5,CCO[C@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1ccc(N)c(Cl)c1)C(C)(C)C,CCO[C@H]1OC(=O)C[C@@H]1NC(=O)[C@@H]1CCCN1C(=O)[C@@H](NC(=O)c1ccc(N)c(Cl)c1)C(C)(C)C,SJDDOCKBXFJEJB-QQSSDERHSA-N,,0,0,1
573,VE-821,BRD-K26756394-001-02-2,CS(=O)(=O)c1ccc(-c2cnc(N)c(C(=O)Nc3ccccc3)n2)cc1,CS(=O)(=O)c1ccc(cc1)-c1cnc(N)c(n1)C(=O)Nc1ccccc1,DUIHHZKTCSNTGM-UHFFFAOYSA-N,,0,0,0
574,BIX-01294,BRD-K26818574-305-04-3,COc1cc2nc(N3CCCN(C)CC3)nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC,COc1cc2nc(nc(NC3CCN(Cc4ccccc4)CC3)c2cc1OC)N1CCCN(C)CC1,OSXFATOLZGZLSK-UHFFFAOYSA-N,,0,0,0
575,GW-842166,BRD-K26823213-001-02-9,O=C(NCC1CCOCC1)c1cnc(Nc2ccc(Cl)cc2Cl)nc1C(F)(F)F,FC(F)(F)c1nc(Nc2ccc(Cl)cc2Cl)ncc1C(=O)NCC1CCOCC1,TWQYWUXBZHPIIV-UHFFFAOYSA-N,,1,0,0
576,azomycin-(2-nitroimidazole),BRD-K26824830-001-02-0,O=[N+]([O-])c1ncc[nH]1,[O-][N+](=O)c1ncc[nH]1,YZEUHQHUFTYLPH-UHFFFAOYSA-N,,0,0,0
577,costunolide,BRD-K26833429-001-02-8,C=C1C(=O)O[C@@H]2/C=C(\C)CC/C=C(\C)CC[C@@H]12,C\C1=C/CC\C(C)=C\[C@H]2OC(=O)C(=C)[C@@H]2CC1,HRYLQFBHBWLLLL-AHNJNIBGSA-N,,0,0,0
578,AST-1306,BRD-K26838195-075-04-9,C=CC(=O)Nc1ccc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2c1,Fc1cccc(COc2ccc(Nc3ncnc4ccc(NC(=O)C=C)cc34)cc2Cl)c1,MVZGYPSXNDCANY-UHFFFAOYSA-N,,1,0,0
