DRUG_NAME,cancer_group,n_total,delta_spearman_mean,delta_auc_mean,mean_auc,alpha_PrimeKG_mean
Erlotinib,Colorectal,46,0.21720629047178536,-0.028522737,0.9234795,0.572951875
Erlotinib,Other,463,0.20809943717419077,-0.018834248,0.9303567537796976,0.5533137124838013
Erlotinib,Lung,154,0.1275700896194255,-0.008015046,0.9314178766233767,0.5657022753896104
Erlotinib,Skin,54,0.08240899561654277,-0.020012105,0.9502360555555557,0.5339935429629629
Erlotinib,Haematological,133,0.0783964660633946,-0.026959509,0.9505095563909775,0.5828558630827066
Erlotinib,Pancreatic,30,-0.0017797552836485153,-0.028802736,0.9402456333333333,0.5355802343333333
Gefitinib,Skin,54,0.1911187345149609,-0.086285636,0.9740118888888889,0.5271922855555555
Gefitinib,Colorectal,46,0.18896083872957142,-0.09090667,0.9466696304347828,0.5667839656521739
Gefitinib,Breast,50,0.17382953181272504,-0.056679856,0.9617823000000001,0.5529315816
Gefitinib,Other,463,0.16621408307935454,-0.0807443,0.9554688682505399,0.543829387451404
Gefitinib,Lung,154,0.14208334360137018,-0.0694147,0.9537593636363636,0.5573363696753247
Gefitinib,Pancreatic,30,0.09699666295884335,-0.08008741,0.9612217000000001,0.5325423283333334
Gefitinib,Haematological,136,-0.00825819378846429,-0.10171681,0.9836466691176471,0.5743472947058824
Osimertinib,Breast,50,0.5276350540216086,-0.052140016,0.9087241200000001,0.49279395899999995
Osimertinib,Colorectal,46,0.4112241751464692,-0.059757672,0.9145302608695652,0.504431745652174
Osimertinib,Pancreatic,30,0.24338153503893212,-0.053598173,0.9487329333333335,0.48363997833333333
Osimertinib,Other,463,0.2400771971451574,-0.05994756,0.9319507451403888,0.5092854120950324
Osimertinib,Lung,154,0.10993206666830951,-0.055079423,0.9299920519480519,0.5102953009090909
Osimertinib,Skin,54,0.07402325138174198,-0.049785737,0.9624164629629628,0.5370662546296295
Osimertinib,Haematological,135,-0.07597795337040292,-0.08516532,0.9559800666666669,0.5292328037037036
Ruxolitinib,Colorectal,48,0.09303082935301779,0.009711683,0.9698779999999999,0.6333732818750001
Ruxolitinib,Pancreatic,30,0.05606229143492769,0.0043544592,0.9790656666666668,0.6001781230000002
Ruxolitinib,Lung,141,0.007401857956248092,0.0037832945,0.9635096595744681,0.6267747919148936
Ruxolitinib,Other,428,-0.011073192590816239,0.00060276815,0.9661327546728972,0.6211584009345795
Ruxolitinib,Breast,45,-0.018840579710144925,0.0075465334,0.9726981777777779,0.616266054
Ruxolitinib,Haematological,133,-0.03680338499327754,-0.012018904,0.9499407969924811,0.6559509898496241
Ruxolitinib,Skin,50,-0.15414165666266508,-0.007447636,0.9776574200000002,0.6442527072
Talazoparib,Pancreatic,30,0.2932146829810901,-0.028732795,0.9236206333333333,0.47023089
Talazoparib,Haematological,135,0.28708906448151406,-0.043189947,0.6990300814814814,0.5176140785925927
Talazoparib,Lung,154,0.2690291365813187,-0.02942381,0.8605779025974026,0.4996306283116883
Talazoparib,Other,462,0.12548023259054636,-0.032278415,0.8512961212121213,0.501250654004329
Talazoparib,Colorectal,46,0.09312365094048719,-0.03364934,0.9012114999999998,0.4899855191304348
Talazoparib,Skin,54,-0.008995616542786244,-0.039168596,0.904187888888889,0.5353673662962963
Talazoparib,Breast,50,-0.07145258103241287,-0.039485756,0.9260808199999999,0.4799554798
Trametinib,Colorectal,48,0.019865392965696893,-0.021848584,0.6430751666666666,0.5728841964583333
