cancer_type,target_gene,n_cells,mean_delta_auc,frac_sensitising
Acute Myeloid Leukemia,ITGA3,7,2.6322596795580466e-05,0.2818218954248366
Acute Myeloid Leukemia,COL4A2,7,2.6223813620163128e-05,0.3007894824596505
Acute Myeloid Leukemia,ANXA8,7,2.6119432212518795e-05,0.11172996976568406
Acute Myeloid Leukemia,PLAAT4,7,2.5739170009079055e-05,0.23534775021119558
Acute Myeloid Leukemia,FBLN1,7,2.5245447042315e-05,0.28001589524698767
Acute Myeloid Leukemia,GPRC5A,7,2.440887101329281e-05,0.13221344093192833
Acute Myeloid Leukemia,IL1B,7,2.431610144932555e-05,0.25007280690053796
Acute Myeloid Leukemia,SAA1,7,2.3461808008765468e-05,0.12849778800409054
Acute Myeloid Leukemia,AQP3,7,2.3094014847759225e-05,0.2787751211595749
Acute Myeloid Leukemia,MME,7,2.250033087745708e-05,0.21076402783335557
Acute Myeloid Leukemia,SRPX,7,2.243767351371519e-05,0.209718887555022
Acute Myeloid Leukemia,TIMP1,7,2.2059280256923686e-05,0.3195864456893869
Acute Myeloid Leukemia,NCKAP1L,7,2.1670904841032878e-05,0.0
Acute Myeloid Leukemia,IGFBP2,7,2.1325790774946135e-05,0.2494542261348984
Acute Myeloid Leukemia,EDIL3,7,2.1307015491142272e-05,0.1473953470277
Acute Myeloid Leukemia,MAGED4B,7,2.127391608805088e-05,0.26429544039838154
Acute Myeloid Leukemia,C3,7,2.125460663851949e-05,0.1609752234227024
Acute Myeloid Leukemia,IKZF1,7,2.094884127602979e-05,0.008665966386554622
Acute Myeloid Leukemia,RHOD,7,2.0652715258100735e-05,0.29361772486772486
Acute Myeloid Leukemia,CKMT1A,7,2.0641447918023914e-05,0.1844551709572718
Acute Myeloid Leukemia,PMP22,7,2.0513712245571825e-05,0.2228972144413321
Acute Myeloid Leukemia,PLBD1,7,2.009115587497945e-05,0.21861216708905787
Acute Myeloid Leukemia,SERPINE1,7,1.976488108214523e-05,0.12971299630963498
