cancer_type,target_gene,n_cells,mean_delta_auc,frac_sensitising
Acute Myeloid Leukemia,COL3A1,7,1.9360846636118367e-05,0.0691104219465564
Acute Myeloid Leukemia,S100A16,7,1.9089992747467477e-05,0.2588304766350985
Acute Myeloid Leukemia,F3,7,1.9082467978088452e-05,0.17708527855586678
Acute Myeloid Leukemia,LINC03061,7,1.8712180657790407e-05,0.10735544217687075
Acute Myeloid Leukemia,CAV2,7,1.837641534458661e-05,0.24258925792539238
Acute Myeloid Leukemia,PDZK1IP1,7,1.8151767790186568e-05,0.04632853141256503
Acute Myeloid Leukemia,CD53,7,1.7909523705839092e-05,0.004081632653061224
Acute Myeloid Leukemia,TMSB4XP6,7,1.7529662207899882e-05,0.3523806744920191
Acute Myeloid Leukemia,TSPAN8,7,1.750051835967627e-05,0.07949124094082076
Acute Myeloid Leukemia,ADGRG1,7,1.690253858604202e-05,0.2396505824552043
Acute Myeloid Leukemia,RAB25,7,1.688185043998861e-05,0.07864534702769997
Acute Myeloid Leukemia,LSP1,7,1.6866351789498628e-05,0.17840914143435152
Acute Myeloid Leukemia,LAMB2,7,1.604853222098817e-05,0.222895547107732
Acute Myeloid Leukemia,EGFR,7,1.549781323514513e-05,0.29855636699124094
Acute Myeloid Leukemia,LY6K,7,1.5191554926527065e-05,0.16851379440665154
Acute Myeloid Leukemia,XAGE1A,7,1.4614385301164085e-05,0.17573362678404697
Acute Myeloid Leukemia,RGS4,7,1.4327778704422858e-05,0.09668033880218754
Acute Myeloid Leukemia,ERRFI1,7,1.4204486823083634e-05,0.23549058512293808
Acute Myeloid Leukemia,NT5E,7,1.4047062709973293e-05,0.22885015117157975
Acute Myeloid Leukemia,PLAAT3,7,1.308848080075872e-05,0.2399871059534925
Acute Myeloid Leukemia,ERBB3,7,1.2542461425774881e-05,0.14465286114445777
Acute Myeloid Leukemia,PTPN7,7,1.101633694945901e-05,0.03673469387755102
Acute Myeloid Leukemia,TNFRSF12A,7,1.0740057924912045e-05,0.22902633275532436
Acute Myeloid Leukemia,COL5A2,7,1.0563297629622476e-05,0.15265606242496998
Acute Myeloid Leukemia,TRBC2,7,1.03020506035786e-05,0.11155823440487304
Acute Myeloid Leukemia,MMP1,7,1.0302020590253441e-05,0.12576725134498243
Acute Myeloid Leukemia,AKR1B10,7,9.83368084104898e-06,0.1280306567071273
Acute Myeloid Leukemia,CXCR4,7,9.693901249972572e-06,0.16045418167266906
Acute Myeloid Leukemia,JCHAIN,7,9.372250149551422e-06,0.04238945578231292
Acute Myeloid Leukemia,IRAG2,7,8.812394477380231e-06,0.03842787114845939
Acute Myeloid Leukemia,FN1,7,8.684107894753521e-06,0.21969315503979372
Acute Myeloid Leukemia,BCAT1,7,8.541725817069943e-06,0.2520641589969321
Acute Myeloid Leukemia,CLDN4,7,8.290717167775646e-06,0.1035336356764928
Acute Myeloid Leukemia,TMSB15A,7,7.880862792067741e-06,0.07563970032457427
Acute Myeloid Leukemia,FAM20C,7,7.6132710091769695e-06,0.23923986261171137
Acute Myeloid Leukemia,LCN2,7,7.573310865284709e-06,0.08534302609932862
Acute Myeloid Leukemia,TINAGL1,7,7.382064917952188e-06,0.1350662487217109
Acute Myeloid Leukemia,MAGEA12,7,7.207710950751789e-06,0.15324129651860743
Acute Myeloid Leukemia,S100P,7,6.969697551539866e-06,0.04956065759637188
Acute Myeloid Leukemia,XAGE1B,7,6.845081478396813e-06,0.11864829265039349
Acute Myeloid Leukemia,SLC43A3,7,6.302795165018844e-06,0.24589919301053756
Acute Myeloid Leukemia,EPB41L3,7,5.984898962196894e-06,0.15688414254590727
Acute Myeloid Leukemia,OSMR,7,5.934600656993487e-06,0.10586484593837535
Acute Myeloid Leukemia,GMFG,7,5.806365217202776e-06,0.017143801965230538
Acute Myeloid Leukemia,KRT17,7,5.793938466272916e-06,0.14126511715797432
Acute Myeloid Leukemia,GJA1,7,4.899524875716972e-06,0.1080112600595794
