DRUG_NAME,DRUG_ID,cancer_group,n_cells,mean_AUC,mean_auc_hat,alpha_ChEMBL,alpha_PrimeKG,n_sensitive_pred,pct_sensitive
CCT007093,1067,Lung,152,0.9745015592105263,0.8606753253947369,0.0,0.0,0,0.0
CCT007093,1067,Skin,52,0.9727274230769231,0.866262419423077,0.0,0.0,0,0.0
CCT007093,1067,Colorectal,46,0.9752158695652173,0.8684068313043478,0.0,0.0,0,0.0
CCT007093,1067,Breast,48,0.9703540833333334,0.8710410841666666,0.0,0.0,0,0.0
CCT007093,1067,Pancreatic,29,0.9712551034482759,0.8719378686206897,0.0,0.0,0,0.0
Cisplatin,1005,Haematological,109,0.8569883577981652,0.7471379536697248,0.5097688652293578,0.49023113733944956,31,0.28440366972477066
Cisplatin,1005,Other,364,0.9170438296703296,0.8565888408241759,0.5546390464835165,0.4453609617307692,11,0.03021978021978022
Cisplatin,1005,Lung,115,0.9275352,0.8743683554782609,0.5422254393913043,0.45777457,0,0.0
Cisplatin,1005,Skin,31,0.9326058064516128,0.8831144487096774,0.5471382480645162,0.45286175193548384,0,0.0
Cisplatin,1005,Pancreatic,30,0.9509419333333333,0.8853295696666666,0.5835738626666667,0.4164261456666667,0,0.0
Cisplatin,1005,Breast,51,0.9636315098039215,0.8891244172549019,0.5439481350980392,0.45605187705882355,0,0.0
Cisplatin,1005,Colorectal,43,0.9444838372093024,0.8917001202325582,0.5191462260465116,0.48085377790697675,0,0.0
Crizotinib,1083,Haematological,138,0.8166535144927536,0.8773636361594204,0.4071323215942029,0.5928676814492754,0,0.0
Crizotinib,1083,Skin,54,0.9141168518518519,0.9008599812962963,0.4011025398148148,0.5988974733333333,0,0.0
Crizotinib,1083,Other,465,0.8971911677419355,0.9046704988387096,0.42502074984946236,0.5749792564731183,0,0.0
Crizotinib,1083,Breast,50,0.9312727599999999,0.9157487797999999,0.4409726704,0.5590273366,0,0.0
Crizotinib,1083,Lung,156,0.8903369423076922,0.9177768149358975,0.4267259782051282,0.5732740283974359,0,0.0
Crizotinib,1083,Colorectal,48,0.8702241041666667,0.9236351858333333,0.43114053041666667,0.5688594789583333,0,0.0
Crizotinib,1083,Pancreatic,30,0.9450913333333334,0.9268188236666667,0.45237407100000004,0.5476259403333333,0,0.0
Cyclophosphamide,1512,Haematological,136,0.9836509044117647,0.7955517910294118,0.6021055949264705,0.3978944146323529,11,0.08088235294117647
Cyclophosphamide,1512,Other,462,0.9765580757575757,0.8615993614502164,0.6421840064718615,0.35781600067099567,2,0.004329004329004329
Cyclophosphamide,1512,Lung,154,0.9757500714285714,0.8735260089610389,0.6273009556493506,0.3726990527922078,0,0.0
