DRUG_NAME,drug_id,source,target_name,relation,edge_type,alpha_source,n_drug_cells
Cisplatin,1005,PrimeKG,987,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,988,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,993,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,996,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1000,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1002,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1007,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1012,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1022,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1039,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1040,enzyme,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1072,target,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1118,target,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1187,target,drug_protein,0.45579746493943474,743
Cisplatin,1005,PrimeKG,1235,target,drug_protein,0.45579746493943474,743
Cytarabine,1006,ChEMBL,796,INHIBITOR,action_type_target,0.3754043124517907,726
Cytarabine,1006,ChEMBL,721,INHIBITOR,has_action_type,0.3754043124517907,726
Cytarabine,1006,ChEMBL,798,DNA inhibitor,drug_has_mechanism,0.3754043124517907,726
Cytarabine,1006,ChEMBL,799,INHIBITOR,action_type_target,0.3754043124517907,726
Cytarabine,1006,ChEMBL,799,INHIBITOR,acts_on_target,0.3754043124517907,726
Cytarabine,1006,ChEMBL,797,NUCLEIC-ACID,target_has_target_type,0.3754043124517907,726
Cytarabine,1006,ChEMBL,800,RNA inhibitor,drug_has_mechanism,0.3754043124517907,726
Cytarabine,1006,ChEMBL,799,RNA inhibitor,mechanism_targets_target,0.3754043124517907,726
Cytarabine,1006,ChEMBL,801,INHIBITOR,action_type_target,0.3754043124517907,726
Cytarabine,1006,ChEMBL,801,INHIBITOR,acts_on_target,0.3754043124517907,726
Cytarabine,1006,ChEMBL,771,PROTEIN FAMILY,target_has_target_type,0.3754043124517907,726
Cytarabine,1006,ChEMBL,802,DNA polymerase (alpha/delta/epsilon) inhibitor,drug_has_mechanism,0.3754043124517907,726
Cytarabine,1006,ChEMBL,801,DNA polymerase (alpha/delta/epsilon) inhibitor,mechanism_targets_target,0.3754043124517907,726
Cytarabine,1006,PrimeKG,994,enzyme,drug_protein,0.624595695261708,726
Cytarabine,1006,PrimeKG,1009,enzyme,drug_protein,0.624595695261708,726
Cytarabine,1006,PrimeKG,1010,enzyme,drug_protein,0.624595695261708,726
Cytarabine,1006,PrimeKG,1013,enzyme,drug_protein,0.624595695261708,726
Cytarabine,1006,PrimeKG,1037,enzyme,drug_protein,0.624595695261708,726
Cytarabine,1006,PrimeKG,1051,target,drug_protein,0.624595695261708,726
