hgnc_symbol,expression
LDOC1,2.3618
RAB32,7.0734
FABP5,6.8564
GAS6,1.0
GRB7,0.2388
ANPEP,0.3896
BMP4,1.2869
ITGA4,3.7181
LSP1,0.7991
PLIN2,6.6712
PTPN7,0.0
TNFSF10,0.1635
ICAM1,6.3001
PHLDA1,7.3493
MSLN,0.0144
CSTA,0.2265
BGN,0.1243
ARHGAP29,0.5059
LIMCH1,0.4114
GNG12,7.735
TP53I11,0.1763
CKMT1B,3.99
NMU,0.0286
DCBLD2,6.7596
TGFB2,2.4141
NREP,3.0179
ANTXR1,4.0976
PDLIM1,5.0583
HOXA9,0.111
SDC1,5.6814
KRT13,0.0
GPX3,0.251
CKMT1A,2.433
PLEK2,0.4005
CRIM1,2.8875
SERPINB2,0.0704
BEX2,2.0321
FST,3.8186
KCNMA1,1.5361
FBN1,2.0215
PYCARD,4.2102
MAGEA2,5.4509
COL9A3,4.5211
IL1B,0.275
APP,8.265
SFRP1,6.887
LYZ,0.7908
CTSH,6.238
PTPRC,0.0144
WLS,6.4765
PLTP,6.4077
AHNAK,6.7097
MACROH2A2,0.1506
SELENOM,3.3089
FGFR1,5.998
POU2AF1,0.0426
CRMP1,1.4854
PRSS3,0.1375
OLFM1,0.3448
NID1,3.1243
ALDH7A1,6.254
NRP2,6.8479
MST1R,0.263
ARHGAP4,1.5008
PLAAT4,0.585
IGLC2,0.0
CD37,1.511
GABRE,0.0566
KYNU,4.4764
BMP7,1.5801
PLAAT3,1.7485
PCSK1N,0.5753
HLA-C,4.6076
INPP5D,0.0704
IKZF1,0.0286
MICAL2,4.9355
CBS,2.3951
TUBA4A,3.8053
APLP1,2.4249
EVA1A,5.8512
CLEC11A,5.4216
SNAI2,6.5073
APOL1,2.9579
GPRC5C,0.2141
GLUL,6.1256
RND3,5.7266
DOCK2,0.5656
VGF,4.8268
CSAG3,4.9107
CTHRC1,6.2153
NDRG1,6.3194
CCND2,0.0
RCSD1,0.0
IRF4,5.3226
FOSB,0.9561
SGK1,7.6013
FADS2,4.6531
SPART,6.1985
TCF4,2.0179
CEP15,7.555
CDH13,1.669
APBB1IP,1.3103
ETS1,6.4545
TUBB3,7.3491
ANXA6,8.3155
HOXB2,4.9878
ADM,4.9741
S100A8,0.0
CA2,0.0286
PTPN6,0.2141
MX1,4.1993
FBLIM1,2.1309
WFDC21P,0.1243
TGFA,0.4854
NRG1,0.1243
IL6,0.0841
SYK,0.6871
TAGLN,1.2987
MYEF2,6.6144
WIPF1,6.3507
LIF,1.1953
LAPTM4B,6.6992
ICA1,2.8895
F2RL1,1.1953
DAB2,5.1759
SERPINH1,7.1924
ALDH2,0.1763
PAX8-AS1,0.275
CD40,4.1367
CA12,0.0976
PROCR,5.6415
MDFI,0.0976
PHLDA3,2.101
ACSL5,0.1763
FBXO17,4.3723
GNG2,5.2946
NLRP2,0.0426
ADAMTS1,3.8629
OCIAD2,4.1375
COL8A1,2.06
S100A1,7.7888
ITM2A,0.251
ROBO1,5.7339
ZSCAN18,0.2388
RCN3,7.0962
MUC1,0.8319
SNHG14,3.3505
PPL,0.263
LINC02802,2.8699
FRMD6,4.6094
NRCAM,5.0378
BCYRN1,9.5426
MMP7,0.111
STEAP1,4.126
CD22,2.4114
IFI6,6.8335
HOXC10,4.6082
DHRS3,6.3821
KLF5,1.7049
ZEB2,5.9505
TES,5.4443
CES1,0.2388
PI3,0.0566
INHBA,0.0426
CST3,7.818
MSC,3.5435
AHNAK2,0.2987
DUSP4,6.6584
CRB3,0.111
NES,6.971
RPL39L,6.943
FEZ1,2.2869
OAS2,5.7506
OAS1,4.5217
NTN4,0.3785
C1R,2.5311
ESRP2,0.4957
CTSS,2.4303
CREB3L1,0.1635
UPP1,6.9093
GNG4,2.541
IGF2BP2,6.0667
SLC17A9,0.0426
PROM2,0.0286
IRX2-DT,3.1144
ADGRF1,0.0
FERMT3,0.9782
EPAS1,1.9819
ANO1,1.1763
ACTA2,1.0215
EREG,0.0426
CHGB,0.0286
CKB,4.5292
PPIC,4.8782
HLA-F,4.7602
BCHE,6.1795
GALNT3,2.9873
SERINC2,3.4529
EPDR1,5.2456
PTK7,4.9079
PFN2,4.774
SMARCA1,5.5494
C1QL1,2.8053
UCP2,3.7897
ELMO1,4.6223
CTAG2,0.3448
BAMBI,6.8711
ACKR3,0.0
ITGB2,0.0976
EGR1,2.4168
LAMA5,2.7991
MAP4K1,0.3334
HSPB8,5.2456
SERPINB1,1.3334
CYFIP2,2.5656
KCNN4,6.031
CYBRD1,5.4459
CLIC3,0.0841
PTN,0.5261
NBL1,8.1129
TUBB6,7.704
B4GALNT4,0.6041
JAM3,4.1747
ARMCX2,1.7093
CYP1B1,0.0286
CYP24A1,0.3561
MYB,2.3674
SASH3,0.0
SOX2,1.5509
NIBAN2,7.4344
XAF1,4.0959
PCDH1,2.9819
HLA-DQA1,0.0426
UNC13D,0.546
CMBL,3.5173
STRA6,0.3219
MATN2,1.9486
PTPRF,4.7735
MXRA7,4.9986
GPC1,5.202
GJB3,0.0144
C1S,0.433
TSPAN7,5.9231
TMEM30B,0.0286
KLK10,0.0286
INA,0.433
BIRC3,0.1635
PPARG,0.189
TSPAN13,3.1619
ID3,5.9796
ITGA6,6.7233
ADGRL2,4.9486
GRHL2,0.0286
STMN3,3.7181
TMSB4XP8,0.0
CAMK2N1,4.1882
IQANK1,0.848
EMB,1.2016
TRIP6,5.278
PRSS21,0.0
LAYN,0.0566
MIAT,0.111
PODXL2,5.4502
CNRIP1,5.1977
CPVL,3.9165
COCH,0.3219
SIRPA,6.2462
IGFL2-AS1,0.903
ICAM2,0.0
USP32P1,0.3219
MYO1G,0.0144
TMSB4X,5.8405
HDGFL3,5.6812
THY1-AS1,0.1506
PTHLH,0.2141
TWIST1,4.9307
PMEL,9.9772
CD82,5.0592
GATA3,0.251
SV2A,3.856
DUSP6,5.9948
PHLDB2,1.7782
HNMT,0.7485
RHOH,0.0
CRABP1,0.0426
FOXA1,0.0566
TCL1A,0.0
ADGRG6,4.5735
IGF2BP1,2.0321
SOX9,1.3618
TRIB2,6.6748
MX2,5.5005
RAI14,5.2157
FLI1,0.111
CFH,0.0286
CEACAM5,0.0286
THBS2,4.5404
SPN,0.0426
LY6E,8.2181
HPGD,2.3618
RGL3,2.7093
VAMP5,6.1631
ATP1B1,4.1424
DTX1,1.8914
S100B,7.8784
P3H3,4.7175
CCDC9B,1.0
PSMB9,4.9069
LDHB,9.9946
GNG11,5.8723
LINC00958,0.0
LBH,1.3618
MGLL,1.144
ADD2,0.0704
MYO1B,5.6673
BCL2A1,7.5151
HLA-DQB1,1.9598
SYTL2,7.4289
GULP1,5.68
APOD,5.266
ARL4C,3.3757
GALNT14,0.0
TGFB1I1,5.4565
RAB13,6.7301
RAB17,4.0435
SCG5,0.4647
TBX3,2.4033
IFI44L,1.1635
MS4A1,0.0
NPAS2,6.4621
DLC1,5.2075
LAT2,0.848
NUDT4P2,6.4163
CD109,6.8344
IRF8,0.0
DDR2,4.8283
EVPL,0.0426
FAM83H,3.717
ARHGAP30,0.0566
FKBP9,5.8174
HSH2D,0.0144
RNA5-8SN3,4.7549
ALOX5AP,0.0704
NPNT,0.0566
FCRLA,3.5558
CASP1,7.4022
PKP1,0.0
PTX3,0.1243
F2R,4.2071
TRPV2,6.9683
ECM1,6.9638
DUSP23,5.4259
ID2,4.5298
KCNG1,4.1538
MYO10,6.1761
VAV1,0.0
ZNF667-AS1,0.1243
SERPINB6,5.0896
AZGP1,1.5705
PDGFC,0.4222
TMEM45B,0.0566
CLMP,0.9635
RNA5-8SN2,4.7549
RAB31,5.4429
PCSK9,0.0286
MFAP4,0.1243
MIA,6.4214
HSPB1,9.7421
FGFR2,0.0566
SELENOP,0.0286
GLIPR1,1.0072
STC1,0.0286
KIFC3,6.7995
BTK,0.1763
KCNK1,0.0426
TFF1,0.0
TNFRSF14,7.3086
S100A13,7.0654
ST6GAL1,5.8866
FAM83A,0.0
PARVB,7.3223
LINC00665,0.696
MYO1E,6.5116
AUTS2,4.5783
PPP1R1B,0.0976
CAPN2,7.7843
PSMB8,6.3752
CBLC,0.0704
DCN,1.5008
KLK5,0.0
MIR100HG,2.0108
SAMD11,0.1635
LIMD2,5.575
PALM,2.0286
ARHGAP8,0.0566
TRO,3.1227
LGALS9,0.1375
FYN,6.0063
SNAP25,0.1635
WAS,0.9486
HTATIP2,6.5708
PBX1,0.0144
NELL2,0.263
CHI3L1,0.0
DUXAP10,4.09
LMNA,9.7371
RPL39P3,10.088
TXNIP,5.4864
COL4A5,0.0976
GPX7,0.0144
PKP2,0.0566
GSN,8.6007
CSF1,0.6041
CARD11,0.0144
WNT5A,2.729
RFTN1,2.5583
SERPINA3,0.7398
RNU4-2,0.0
POPDC3,5.2623
PLEK,0.111
SNHG18,4.6921
SGCE,4.2994
KRT8P3,0.0566
PRRX1,7.489
MAGEA2B,4.2188
DNAJA4,2.7268
KLK8,0.1375
LARP6,4.2487
COL7A1,1.9107
NR2F1,3.4515
TENM3,2.943
TMEM158,3.8728
SYT11,2.9203
LINC00511,5.3716
TMEM139,0.585
NR2F2,4.6932
CD99,7.8714
INSM1,0.0144
NPDC1,4.926
PAGE5,0.1243
SCARA3,0.0704
SQOR,5.9479
MEIS3,4.033
RGS16,0.111
IGLC3,0.0
PRDX2,8.0456
MYLK,1.7527
NOTCH3,0.1243
APOC1,0.9184
C6orf141,0.189
SH2D4A,1.2141
GNA15,0.0144
FBXO2,2.7442
ASPH,6.1615
RTL8C,6.4914
PTGFRN,5.6628
DDC,0.0286
INAVA,0.0976
WNT7B,0.0286
CALB2,0.2987
CSRP2,6.6796
CELF2,6.4612
MAP2,4.7522
LPXN,7.3044
MAP1LC3A,1.406
RUNX3,5.9609
ISG15,3.8012
MARCKS,6.3349
SLC1A3,0.4854
ITGB3,5.3345
PCDHGC3,6.6561
GATA2,0.3674
SCRN1,6.5762
ABLIM3,4.7745
HOXB6,3.8924
HOXB9,1.3448
PRTFDC1,0.0
PTPRM,4.942
HES4,2.9709
DAPK1,3.7181
ARHGAP15,1.8359
KRT16,0.1763
C1orf116,0.111
CPT1C,2.275
FCGRT,1.373
APOBEC3B,6.0
DZIP1,4.375
EVL,2.0704
CYTOR,6.2034
CFB,0.4005
POSTN,0.0144
GSTM2,3.557
DDR1,5.0435
SPEG,1.189
DEFB1,0.0426
HKDC1,1.2141
MEF2C,4.9174
SEPTIN10,5.9732
HLA-DRB5,0.0
TSPYL5,0.0
TFAP2C,6.0596
RNA5-8SN1,4.7549
LXN,4.7485
MT1F,3.3349
TPBG,3.3147
HEG1,2.8914
SYDE1,5.1035
HES1,5.2106
AKT3,5.2724
DUXAP9,4.3716
NEFL,0.3785
TFAP2A,5.6876
VGLL1,0.0566
PAPSS2,0.4436
CTSF,5.1485
GDA,0.0566
CHMP4C,0.3219
NXN,2.991
JAG2,0.3674
ITGA2,2.7268
MYADM,3.1651
GLDC,5.0126
PXDC1,4.9681
DNER,0.7049
ASCL1,0.0144
TMEM132A,1.2327
TCIM,0.0
RBM47,0.3561
CACNG4,0.0286
PNMA2,0.275
ALPP,0.0144
CPNE7,2.8992
PTPRS,4.8555
OBSL1,5.0453
SYTL1,0.4436
BATF,2.4699
PITX1,0.0286
HLA-DMB,2.1538
ECHDC2,3.7687
COL16A1,2.8094
SLC6A8,6.9575
RARRES2,0.0
KRTCAP3,0.6323
COTL1,8.2079
ADAP1,0.4114
ST6GALNAC2,6.5612
B3GNT3,0.0841
EGFL7,4.1715
PLAUR,5.0862
PHGDH,8.0712
PAX8,0.0566
TNFRSF6B,0.0
SLAIN1,0.5261
GPSM3,2.6253
BMERB1,2.254
TP63,0.0566
AIF1L,2.269
PKDCC,0.7312
SLC6A15,5.266
LIPG,0.0286
SPINT1-AS1,1.1375
WNT5B,0.0426
GSDME,4.2032
APOBEC3G,0.2016
CTTN,7.5531
KRT23,0.0841
ANO9,0.263
RASGRP2,0.0286
GRB10,5.4679
CD276,7.5151
LLGL2,2.359
MIR142HG,0.0
WNK2,3.2172
MUC13,0.0841
MAGI2-AS3,5.2399
GLB1L2,3.1811
COL11A1,0.1375
MT1X,5.4162
IL13RA2,0.0976
GPRC5B,4.7698
DPP4,0.2141
FERMT2,3.3391
SCARNA22,0.0
CXCL5,0.0
DPYSL5,0.0566
C6orf132,0.0
DHRS2,0.84
DNM1,1.4436
MAP7,0.3896
TGFBR2,4.6639
PRR15,0.0144
CASP4,6.3359
HOXD10,0.0841
ETV4,6.6761
TSPAN15,0.7485
ACTN1,7.2294
VSIR,0.2141
SPATS2L,7.0708
TMC4,0.5361
SMIM10L3,2.8237
CALB1,0.0144
EFHD1,0.3785
COPZ2,1.0356
SPANXA2,0.0
KDELR3,5.9706
ITGB6,0.0286
APCDD1L-DT,0.0286
SAA2,0.0566
RN7SL2,11.8812
TNS3,5.2772
CFI,0.1635
HID1,0.111
SLC7A8,5.4496
RAB38,7.0821
RBPMS,4.9602
FBXO32,5.3406
GPR87,0.0144
SPI1,0.0144
STOM,6.0721
AIF1,0.0
MFGE8,7.8209
PPP1R14A,0.0704
KCNQ2,0.0286
MYO5B,0.2987
HMCN1,4.5211
NCF4,0.0144
SORL1,0.2265
ATP1A3,0.4542
SLFN13,2.5311
ARHGEF6,2.9764
DTX3,2.8278
UPK3B,0.2016
SNORA63,0.0
VIL1,0.0841
EPN3,0.0704
SEMA3A,1.2987
FBP1,0.0704
GNAI1,5.7126
P2RY8,0.0
PLCB4,3.0108
ID4,5.0409
CYP2S1,0.903
FAM114A1,5.4386
EFNA1,1.7225
TJP1,4.2426
HMOX1,4.5699
CARMIL2,0.3219
LGALS4,0.848
LYPD6B,0.0
OLFM2,1.2079
IGLC1,0.0704
SRPX2,1.4222
PRXL2A,4.2928
FSD1,3.852
IL1A,0.2016
IGFBPL1,0.1375
DBNDD2,4.3306
TEAD2,4.2772
SEPTIN5,3.6622
EFEMP2,1.3334
MLLT11,4.3377
EMP2,5.5081
PURPL,0.3334
HOOK1,1.6088
VWA1,1.516
HOXA10,1.4699
AJUBA,2.6369
STING1,3.06
CDKN2B,2.6462
MYCN,0.0144
ENG,5.5258
LMCD1,5.4845
KLF4,2.5969
HSPG2,5.2784
ITGAL,0.0144
SORBS2,3.4436
ARHGAP23,2.858
A1BG,3.9736
ENAH,6.3877
HLA-A,7.8956
VEGFC,0.3561
MYO1D,5.0691
IL7R,0.1763
ZNF703,3.5236
CEBPD,3.5632
ZIC1,4.9279
APBA2,3.6218
NFATC4,0.2388
IFI30,3.6369
FGF2,2.1043
FOLR1,0.0
MT1G,0.2265
KIF5C,0.0841
RUBCNL,1.8836
TMEM125,0.0286
BLNK,0.0144
RFLNB,4.4944
TC2N,0.1375
MSRB3,3.144
CA9,0.3896
JAG1,2.1859
NUP210,1.0566
TNFRSF11B,1.5898
KCNH2,0.0144
FLRT2,2.6781
TMEM54,4.7986
ALOX5,0.0286
SEMA3B,2.2898
PLCG2,2.2079
DENND2D,0.1375
PREX1,2.263
SNORA50C,2.111
IGLL1,0.0
CXCL2,0.0286
PAX5,0.0144
IFFO1,3.4005
F11R,4.0135
ME1,2.9855
GAS7,5.9054
TRNP1,4.5644
ALPK2,0.3103
ALS2CL,0.0841
TMEM156,0.0144
RIPK4,4.7203
TMEM184A,0.0704
SFTA1P,0.0
AHR,6.544
IGLL5,0.0
EGLN3,1.3674
NDN,4.4416
CXCL16,2.0807
PLEKHA6,0.3219
GRAMD1B,1.4489
BTG2,0.84
CDC42EP5,3.6017
GJB2,0.0426
LY6D,0.0
TAGLN3,0.0144
EPS8,6.2032
TNFRSF21,4.7159
FOXQ1,0.111
LRRC61,0.3334
DNAJC12,2.4087
MBP,7.4947
PIK3AP1,0.0426
LAIR1,0.0
GFPT2,0.4751
PCOLCE,6.1212
PODXL,0.4114
SH3BP4,6.23
NIBAN1,5.211
HR,2.1506
PDZD4,2.0635
SLC16A5,3.7038
THBD,0.0566
FERMT1,0.2265
OLFML3,0.3334
IFIT3,3.4751
AGRN,5.3806
SNX7,5.9336
C8orf88,3.251
SPON2,6.1077
ENO2,5.8612
APCDD1,5.7342
OLR1,0.0704
TOX2,3.5173
TMC8,0.0566
FRG1CP,4.4816
MAGED4,0.0
ZNF595,2.0772
INHBB,0.0144
TMC6,1.6781
B4GALNT1,4.7159
ZNF677,1.3674
CLDN11,4.6993
PON2,6.9988
SPRY4,5.1815
NHERF2,3.2854
APOBEC3C,5.8532
SYT1,1.2203
RGS1,0.7485
ALCAM,4.047
MIR4435-2HG,7.0129
DEF6,0.2869
TENM2,0.0144
TCEAL3,4.8207
SOX10,8.2362
STAP2,2.9727
LOXL4,0.251
PRKCB,0.0566
RNF128,4.408
EPHB2,0.0426
PYCR1-AS1,0.0
RN7SL3,5.5531
MFAP5,0.0286
GBP1,4.5963
NECTIN2,4.2891
TUBB4A,5.4906
HES6,4.669
EFNB2,1.5705
EPB41L2,4.9837
NHSL3,4.0807
DENND1C,0.5059
ITGBL1,0.0
RNU4-1,0.0
ZFP36L1,4.98
CLIP4,3.7751
SEZ6L2,3.5644
SNTB1,4.2494
LFNG,0.5059
PHGR1,0.0704
TMT1A,0.433
LYPD3,1.7949
HLA-DMA,3.488
CERS4,0.9411
RPL21P16,8.9219
WWC1,3.511
MOXD1,0.1506
LUCAT1,0.8718
HENMT1,0.926
RPL13P12,3.4738
MLF1,4.8022
HOXB3,3.846
BARX1,0.0426
IGFN1,0.0841
KRT4,0.0
FAM171A1,0.0841
NCKAP1,6.2784
HOXB-AS3,3.0618
GCHFR,2.211
LY96,0.903
CP,0.4222
FXYD2,0.0
MARVELD3,0.1243
SPHK1,3.5097
VAV3,1.0286
CHN1,2.8797
CPLX2,0.0
SCEL,0.0286
SDC3,7.9388
MTND1P23,2.7355
ANGPTL2,0.0426
PCDH7,3.3964
C14orf132,0.0704
MCF2L,1.9891
RTN1,0.0841
PKIB,0.251
EMILIN1,4.2118
NSG1,5.8357
PHACTR1,5.7903
ANTXR2,1.7268
SYT7,0.3674
PALLD,3.3001
ARHGEF5,2.6893
MAGEA1,0.0426
FUCA2,4.8379
SYNPO,0.546
SERPINF1,6.2116
ENPP2,3.8156
ENC1,3.3923
CTSV,3.0233
ESPN,0.0426
SCG3,0.4854
USP41P,2.266
PLAGL1,0.0286
LTB,0.0426
RHOBTB3,5.1942
SH3RF2,0.3896
TNNC1,0.1763
SMO,3.9136
CKAP4,5.9215
SH2D3A,1.0286
MGST2,3.5801
SPOCD1,2.7527
CSPG4,5.98
SH3BGRL,5.9789
GBP2,3.9523
CYTIP,0.0
WNT10A,0.0566
ARHGEF16,0.4751
NFIX,5.9998
RNU1-2,1.1177
RNU1-27P,1.1177
RNU1-4,1.1177
RNVU1-29,1.1177
SERPING1,0.4114
CNTN1,0.9486
LMO2,0.1635
RHOB,5.4182
ETV1,5.4525
TMBIM1,6.4676
BCL11A,0.0426
MAPT,0.2265
MAN1A1,1.6736
GALNT6,0.1635
NID2,0.2388
LRP3,3.8248
USP9Y,0.275
ALDOC,1.9523
DIO2,0.0286
C12orf75,5.61
ISG20,3.4449
