DRUG_ID,DRUG_NAME,gene_name,n_cells,mean_delta_auc,std_delta_auc,abs_mean_delta_auc,frac_sensitising,is_known_target,rank_sensitising
1048,Mirin,TNFRSF1A,170,0.0003561906924005598,0.0003705668787006289,0.0004285871982574463,0.0,False,13
1048,Mirin,PLCD3,170,0.0003515933349262923,0.00026775855803862214,0.0003621489740908146,0.0,False,14
1048,Mirin,ENC1,170,0.00034706530277617276,0.0002727460232563317,0.0003759018727578223,0.0,False,15
1048,Mirin,DBNDD2,170,0.00034604957909323275,0.00023675727425143123,0.0003623665252234787,0.0,False,16
1048,Mirin,SLCO4A1,170,0.0003437036939430982,0.00028539675986394286,0.00037511708796955645,0.0,False,17
1048,Mirin,ADORA2B,170,0.0003383998409844935,0.0001905984099721536,0.00034011751995421946,0.0,False,18
1048,Mirin,ADGRE5,170,0.0003327159211039543,0.00025770365027710795,0.00034657365176826715,0.0,False,19
1048,Mirin,EPB41L2,170,0.000331690302118659,0.00024446399766020477,0.00034838661667890847,0.0,False,20
1059,AZD8055,SAT1,147,0.0006885271286591887,0.00041519696242175996,0.0007012095302343369,0.0,False,1
1059,AZD8055,LDHB,147,0.0005856336792930961,0.00046101599582470953,0.0006339085521176457,0.0,False,2
1059,AZD8055,RHOBTB3,147,0.000462391966721043,0.00030135264387354255,0.00047085501137189567,0.0,False,3
1059,AZD8055,ANXA2,147,0.00044907841947861016,0.00032408061088062823,0.0004649000184144825,0.0,False,4
1059,AZD8055,ITM2C,147,0.00043278405792079866,0.0003790803311858326,0.00047498170170001686,0.0,False,5
1059,AZD8055,JUN,147,0.0004164233978372067,0.00035549115273170173,0.00045440735993906856,0.0,False,6
1059,AZD8055,MT2A,147,0.000397267984226346,0.00030070956563577056,0.00041781296022236347,0.0,False,7
1059,AZD8055,CNN2,147,0.00036460100091062486,0.00038073858013376594,0.0004315220285207033,0.0,False,8
1059,AZD8055,EPB41L2,147,0.0003592933644540608,0.00024295631737913936,0.0003728459123522043,0.0,False,9
1059,AZD8055,SLCO4A1,147,0.0003430482465773821,0.00028779456624761224,0.0003850804641842842,0.0,False,10
1059,AZD8055,FXYD5,147,0.00034050815156660974,0.00025250299950130284,0.0003641148505266756,0.0,False,11
1059,AZD8055,DBNDD2,147,0.000339220161549747,0.0002607190399430692,0.00035552671761251986,0.0,False,12
1059,AZD8055,ADORA2B,147,0.0003381109854672104,0.0002012236072914675,0.00034316442906856537,0.0,False,13
1059,AZD8055,TNFRSF21,147,0.0003314097411930561,0.0002495331282261759,0.00035082301474176347,0.0,False,14
1059,AZD8055,TNFRSF1A,147,0.00033035469823516905,0.0003642261726781726,0.0004102565289940685,0.0,False,15
1059,AZD8055,MTSS2,147,0.0003227782144676894,0.000269387528533116,0.00036812032340094447,0.0,False,16
1059,AZD8055,TCEAL4,147,0.0003221217484679073,0.0003746624570339918,0.0004065714019816369,0.0,False,17
1059,AZD8055,MT1X,147,0.00030791922472417355,0.0003179202612955123,0.0003588556428439915,0.0,False,18
1059,AZD8055,PLS3,147,0.000307494483422488,0.000231489262660034,0.0003265497216489166,0.0,False,19
1059,AZD8055,YBX3,147,0.0003070073144044727,0.00041430414421483874,0.0004144611011724919,0.0,False,20
1067,CCT007093,SAT1,186,0.0006144245271570981,0.0004446379898581654,0.0006531653343699872,0.0,False,1
1067,CCT007093,ITM2C,186,0.0005685228970833123,0.0003683650284074247,0.0005888313753530383,0.0,False,2
1067,CCT007093,ANXA2,186,0.00048744678497314453,0.0003457452403381467,0.0005151052610017359,0.0,False,3
1067,CCT007093,YBX3,186,0.00043103963253088295,0.00045061568380333483,0.0005107473698444664,0.0,False,4
1067,CCT007093,HSPB1,186,0.0004220899718347937,0.0004132137692067772,0.000478628819109872,0.0,False,5
