GDSC_DRUG_ID,DRUG_ID,DRUG_NAME,canonical_name,SMILES,canonical_SMILES,InChIKey,ChEMBL_node_id,has_ChEMBL,graph_degree_ChEMBL,source_weight_ChEMBL,DRKG_node_id,has_DRKG,graph_degree_DRKG,source_weight_DRKG,PrimeKG_node_id,has_PrimeKG,graph_degree_PrimeKG,source_weight_PrimeKG,n_cells,spearman,pcc,mean_auc_hat,mean_AUC,coverage_group,total_kg_degree,is_focal,alpha_ChEMBL,alpha_DRKG,alpha_PrimeKG
1560,1560,Alpelisib,alpelisib,CC1=C(SC(=N1)NC(=O)N2CCCC2C(=O)N)C3=CC(=NC=C3)C(C)(C)C(F)(F)F,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,STUWGJZDJHPWGZ-UHFFFAOYSA-N,333,1,12.0,1.0,334,0,0.0,0.0,335,1,58.0,1.0,940.0,0.48543907129719954,0.42253752105902775,0.8916923093617021,0.9298817287234044,ChEMBL+PrimeKG,70.0,False,0.5078216482553192,0.0,0.4921783579361702
1576,1576,IWP-2,iwp 2,CC1=CC2=C(C=C1)N=C(S2)NC(=O)CSC3=NC4=C(C(=O)N3C5=CC=CC=C5)SCC4,Cc1ccc2nc(NC(=O)CSc3nc4c(c(=O)n3-c3ccccc3)SCC4)sc2c1,WRKPZSMRWPJJDH-UHFFFAOYSA-N,345,0,0.0,0.0,346,0,0.0,0.0,347,0,0.0,0.0,870.0,0.09281666368133087,0.05120699453145564,0.8946330835172415,0.9755925160919541,No KG,0.0,False,0.0,0.0,0.0
1593,1593,Entinostat,entinostat,C1=CC=C(C(=C1)N)NC(=O)C2=CC=C(C=C2)CNC(=O)OCC3=CN=CC=C3,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,INVTYAOGFAGBOE-UHFFFAOYSA-N,363,1,6.0,1.0,364,0,0.0,0.0,365,0,0.0,0.0,875.0,0.3246567579579392,0.32562335460645514,0.8735786558171429,0.8130316068571428,ChEMBL only,6.0,False,1.0,0.0,0.0
1622,1622,Wnt-C59,wnt c59,CC1=NC=CC(=C1)C2=CC=C(C=C2)CC(=O)NC3=CC=C(C=C3)C4=CN=CC=C4,Cc1cc(-c2ccc(CC(=O)Nc3ccc(-c4cccnc4)cc3)cc2)ccn1,KHZOJCQBHJUJFY-UHFFFAOYSA-N,393,0,0.0,0.0,394,0,0.0,0.0,395,0,0.0,0.0,871.0,0.29819093226719207,0.3018055461688697,0.9234403586222734,0.9541229058553387,No KG,0.0,False,0.0,0.0,0.0
1630,1630,Entospletinib,entospletinib,C1COCCN1C2=CC=C(C=C2)NC3=NC(=CN4C3=NC=C4)C5=CC6=C(C=C5)C=NN6,c1cn2cc(-c3ccc4cn[nH]c4c3)nc(Nc3ccc(N4CCOCC4)cc3)c2n1,XSMSNFMDVXXHGJ-UHFFFAOYSA-N,411,1,12.0,1.0,412,0,0.0,0.0,413,0,0.0,0.0,871.0,0.46637158517743144,0.5242527465461851,0.860971619402985,0.9255026004592424,ChEMBL only,12.0,False,1.0,0.0,0.0
1631,1631,PRT062607,prt062607,C1CCC(C(C1)N)NC2=NC=C(C(=N2)NC3=CC(=CC=C3)N4N=CC=N4)C(=O)N,NC(=O)c1cnc(NC2CCCCC2N)nc1Nc1cccc(-n2nccn2)c1,TXGKRVFSSHPBAJ-UHFFFAOYSA-N,414,0,0.0,0.0,415,0,0.0,0.0,416,0,0.0,0.0,871.0,0.5508154106104375,0.5636193196777407,0.8867052026176809,0.8970177003444318,No KG,0.0,False,0.0,0.0,0.0
1739,1739,JAK_8517,jak 8517,CC1=NC2=CN=C3C(=C2N1C4CCNCC4)C=CN3,Cc1nc2cnc3[nH]ccc3c2n1C1CCNCC1,XTQACRIFOIASKV-UHFFFAOYSA-N,441,0,0.0,0.0,442,0,0.0,0.0,443,0,0.0,0.0,698.0,0.4056647428878754,0.43151118134278627,0.8732231730229227,0.8782894412607449,No KG,0.0,False,0.0,0.0,0.0
1786,1786,AZD4547,azd4547,CC1CN(CC(N1)C)C2=CC=C(C=C2)C(=O)NC3=NNC(=C3)CCC4=CC(=CC(=C4)OC)OC,COc1cc(CCc2cc(NC(=O)c3ccc(N4CC(C)NC(C)C4)cc3)n[nH]2)cc(OC)c1,VRQMAABPASPXMW-UHFFFAOYSA-N,447,0,0.0,0.0,448,0,0.0,0.0,449,0,0.0,0.0,934.0,0.2501792837709038,0.2666651476592306,0.8917126002569592,0.9502327922912206,No KG,0.0,False,0.0,0.0,0.0
1815,1815,Dacarbazine,dacarbazine,CN(C)N=NC1=C(NC=N1)C(=O)N,CN(C)N=Nc1nc[nH]c1C(N)=O,FDKXTQMXEQVLRF-UHFFFAOYSA-N,477,1,6.0,1.0,478,0,0.0,0.0,479,1,174.0,1.0,698.0,-0.020129927958312185,-0.03342016894143297,0.8981014791404011,0.9692929742120344,ChEMBL+PrimeKG,180.0,False,0.48593563785100286,0.0,0.5140643689971347
1825,1825,Podophyllotoxin bromide,podophyllotoxin bromide,COC1=CC(=CC(=C1OC)OC)C2C3C(COC3=O)C(C4=CC5=C(C=C24)OCO5)Br,COc1cc(C2c3cc4c(cc3C(Br)C3COC(=O)C23)OCO4)cc(OC)c1OC,VNDCSULMOTZMNT-UHFFFAOYSA-N,483,0,0.0,0.0,484,0,0.0,0.0,485,0,0.0,0.0,698.0,0.5712035380814504,0.5826104538820633,0.8615302730945559,0.7975203553008596,No KG,0.0,False,0.0,0.0,0.0
