gene_name,drug_family,mean_delta_family,mean_delta_background,specificity_score,is_family_target,n_family_drugs,n_background_drugs
CCND1,MEK_inhibitors,0.0025499320472590625,0.0019235458283219486,1.3249526250473345,False,2,30
MYCN,MTOR_inhibitors,0.0010903449438046664,0.000832584110321477,1.3080203068940073,False,2,30
FGFR4,MEK_inhibitors,0.0030258323531597853,0.002329002848515908,1.2986389072816305,False,2,30
EGFR,EGFR_inhibitors,0.0024900635859618583,0.0019493516398749005,1.2767254555807055,True,3,30
FGFR2,MEK_inhibitors,0.0022295103408396244,0.0017466351816741129,1.2757298343604577,False,2,30
CDKN2A,EGFR_inhibitors,0.002548790032354494,0.0020341128615352015,1.2524072156036576,False,3,30
MGMT,MEK_inhibitors,0.0036716400645673275,0.0029430128866806625,1.2471548888860522,False,2,30
KIT,MTOR_inhibitors,0.0012756879441440105,0.001028127126240482,1.2395824690815829,False,2,30
EGFR,BCL2_inhibitors,0.002412683388683945,0.0019493516398749005,1.2370504576491137,False,2,30
MET,MEK_inhibitors,0.003221229766495526,0.0026056110160425304,1.2357922784298425,False,2,30
MAPK13,MTOR_inhibitors,0.002841773326508701,0.002302401652559638,1.2337289605357367,False,2,30
CDKN2A,MTOR_inhibitors,0.0024885445600375533,0.0020341128615352015,1.2228042026918853,False,2,30
MAP4K1,BCL2_inhibitors,0.0011506607406772673,0.0009423045140768712,1.2198189699148396,False,2,30
ERBB3,MEK_inhibitors,0.0018797272350639105,0.0015459502639714629,1.2151180802918087,False,2,30
BCL2,EGFR_inhibitors,0.003103963720301787,0.0025673896035489936,1.2085252626831764,False,3,30
MAPK13,EGFR_inhibitors,0.0027732361728946366,0.002302401652559638,1.2039742047648956,False,3,30
CCND2,MEK_inhibitors,0.0010140507656615227,0.0008420900771549593,1.202778674709916,False,2,30
CDKN1A,BCL2_inhibitors,0.0074851964600384235,0.006304058774063984,1.1871731459235502,False,2,30
CDKN1A,BRAF_inhibitors,0.007362421602010727,0.006304058774063984,1.1677007091981808,False,1,30
KIT,MEK_inhibitors,0.0012005196185782552,0.001028127126240482,1.1665416137303555,False,2,30
CDKN2B,MTOR_inhibitors,0.0017146671889349818,0.0014693039372408142,1.1661991412148036,False,2,30
MET,PI3K_inhibitors,0.0030315782059915364,0.0026056110160425304,1.1630343719617242,False,2,30
FGFR2,BRAF_inhibitors,0.002027659211307764,0.0017466351816741129,1.1602302543288283,False,1,30
MET,BRAF_inhibitors,0.003017974551767111,0.0026056110160425304,1.1578154673608072,False,1,30
BCL2,MTOR_inhibitors,0.002966078696772456,0.0025673896035489936,1.1548398625636611,False,2,30
MAP4K1,MEK_inhibitors,0.0010881577909458429,0.0009423045140768712,1.15355940177041,False,2,30
CDKN2A,MEK_inhibitors,0.002299725776538253,0.0020341128615352015,1.1300237053209121,False,2,30
CCND2,PI3K_inhibitors,0.0009396873647347093,0.0008420900771549593,1.1145752870271244,False,2,30
ERBB2,MEK_inhibitors,0.005232333671301603,0.004705272692566116,1.1117786862555663,False,2,30
MET,BCL2_inhibitors,0.002896276884712279,0.0026056110160425304,1.111127386052995,False,2,30
CDKN1A,PARP_inhibitors,0.007004093534002702,0.006304058774063984,1.1108688729142724,False,3,30
CDKN2A,CDK46_inhibitors,0.002244949573650956,0.0020341128615352015,1.1031081450477704,False,1,30
MGMT,CDK46_inhibitors,0.0032457979395985603,0.0029430128866806625,1.102508061117272,False,1,30
CDKN2C,BCL2_inhibitors,0.005267191911116242,0.004781665051511178,1.101308967779788,False,2,30
BCL2,PI3K_inhibitors,0.002824867144227028,0.0025673896035489936,1.0998592815995027,False,2,30
MYCN,PI3K_inhibitors,0.0009107647929340601,0.000832584110321477,1.0925889561196385,False,2,30
FGFR4,BCL2_inhibitors,0.002542741713114083,0.002329002848515908,1.0913041221102706,False,2,30
PIK3CD,MTOR_inhibitors,0.0020050181192345917,0.0018505589842485884,1.0828810404051379,False,2,30
CCND1,MTOR_inhibitors,0.002079016121570021,0.0019235458283219486,1.0802632449562182,False,2,30
CDKN2C,MEK_inhibitors,0.00512284878641367,0.004781665051511178,1.0711284882463186,False,2,30
BCL2A1,CDK46_inhibitors,0.000732678163331002,0.0006844341978042696,1.0689256031841925,False,1,30
FGFR1,MEK_inhibitors,0.0027040347922593355,0.002531776980807384,1.0676166171556718,False,2,30
MAP4K1,PI3K_inhibitors,0.0010044656810350716,0.0009423045140768712,1.0648371401233603,False,2,30
CDKN2A,PI3K_inhibitors,0.0021632732241414487,0.0020341128615352015,1.0629745725795121,False,2,30
MYC,BRAF_inhibitors,0.005045296624302864,0.004750946699641645,1.061732578920412,False,1,30
FGFR3,MEK_inhibitors,0.0016773433308117092,0.0015876768991195907,1.0558114942951933,False,2,30
EGFR,PI3K_inhibitors,0.002048413851298392,0.0019493516398749005,1.0502792467874056,False,2,30
PIK3CD,PI3K_inhibitors,0.0019440557807683945,0.0018505589842485884,1.0499561706144316,False,2,30
PIK3CD,EGFR_inhibitors,0.0019222275586798787,0.0018505589842485884,1.0381670662573947,False,3,30
FGFR4,MTOR_inhibitors,0.0024037559051066637,0.002329002848515908,1.0316536336587454,False,2,30
CDKN2C,MTOR_inhibitors,0.004855627892538905,0.004781665051511178,1.015255686994989,False,2,30
FGFR1,BCL2_inhibitors,0.0025656184880062938,0.002531776980807384,1.0129666004736195,False,2,30
FGFR2,MTOR_inhibitors,0.001764415530487895,0.0017466351816741129,1.009601745827586,False,2,30
AKT3,BRAF_inhibitors,0.002540087327361107,0.0025174207558544973,1.00860323734874,False,1,30
NOTCH3,BRAF_inhibitors,0.0013429587706923485,0.001331547482792909,1.0078130708540445,False,1,30
FGFR2,BCL2_inhibitors,0.0017607796471565962,0.0017466351816741129,1.0075212868339558,False,2,30
CCND2,MTOR_inhibitors,0.0008468380838166922,0.0008420900771549593,1.004445558977969,False,2,30
FGFR3,MTOR_inhibitors,0.0015954719274304807,0.0015876768991195907,1.0042771619041329,False,2,30
BCL2,CDK46_inhibitors,0.002564365044236183,0.0025673896035489936,0.9984330417366394,False,1,30
NOTCH3,PI3K_inhibitors,0.0013292839867062867,0.001331547482792909,0.9975509344854397,False,2,30
MYCN,BCL2_inhibitors,0.000824457238195464,0.000832584110321477,0.9890510483429282,False,2,30
MET,MTOR_inhibitors,0.002577009261585772,0.0026056110160425304,0.9886435857615222,False,2,30
ERBB3,PI3K_inhibitors,0.0015290916780941188,0.0015459502639714629,0.9884556172921191,False,2,30
CCND1,PI3K_inhibitors,0.0019002765184268355,0.0019235458283219486,0.9873895910723655,False,2,30
FGFR4,CDK46_inhibitors,0.002298343228176236,0.002329002848515908,0.9864121967233485,False,1,30
AKT3,MTOR_inhibitors,0.002476079622283578,0.0025174207558544973,0.9831874266948879,False,2,30
CDKN2A,BCL2_inhibitors,0.0019765316392295063,0.0020341128615352015,0.971214755007983,False,2,30
MYC,PI3K_inhibitors,0.004605304449796677,0.004750946699641645,0.969140594557589,False,2,30
ERBB2,MTOR_inhibitors,0.004557859152555466,0.004705272692566116,0.9684647385084421,False,2,30
MAP4K1,BRAF_inhibitors,0.000913295429199934,0.0009423045140768712,0.9681872773541167,False,1,30
CCND1,EGFR_inhibitors,0.0018475694814696908,0.0019235458283219486,0.960002850688479,False,3,30
FGFR2,PARP_inhibitors,0.0016751033642018835,0.0017466351816741129,0.9584971633480457,False,3,30
MGMT,BRAF_inhibitors,0.002794699277728796,0.0029430128866806625,0.9492822841817734,False,1,30
CCND2,BRAF_inhibitors,0.0007976297056302428,0.0008420900771549593,0.9460788677787262,False,1,30
FGFR3,PI3K_inhibitors,0.0014954488724470139,0.0015876768991195907,0.941317188709522,False,2,30
MYCN,CDK46_inhibitors,0.0007787657668814063,0.000832584110321477,0.934237777854319,False,1,30
AKT3,CDK46_inhibitors,0.002346995985135436,0.0025174207558544973,0.9319316399689943,False,1,30
EGFR,MEK_inhibitors,0.0018011914216913283,0.0019493516398749005,0.9235213716675524,False,2,30
FGFR2,CDK46_inhibitors,0.0016045544762164354,0.0017466351816741129,0.9181289625214479,False,1,30
ERBB3,CDK46_inhibitors,0.0014182351296767592,0.0015459502639714629,0.916794264629908,False,1,30
FGFR4,BRAF_inhibitors,0.0021332905162125826,0.002329002848515908,0.9155742095214086,False,1,30
BCL2,BRAF_inhibitors,0.002351428847759962,0.0025673896035489936,0.9155265402533806,False,1,30
KIT,EGFR_inhibitors,0.0009363498150681456,0.001028127126240482,0.9098485417333596,False,3,30
FGFR4,PARP_inhibitors,0.002104752503025035,0.002329002848515908,0.9033261501657194,False,3,30
CDKN2A,BRAF_inhibitors,0.001834144932217896,0.0020341128615352015,0.9012497374884142,False,1,30
PIK3CD,BRAF_inhibitors,0.0016553874593228102,0.0018505589842485884,0.8940506208040735,False,1,30
FGFR2,EGFR_inhibitors,0.0015487706987187266,0.0017466351816741129,0.8862093845210373,False,3,30
FGFR1,PI3K_inhibitors,0.0022398874862119555,0.002531776980807384,0.8843603298613117,False,2,30
KIT,PARP_inhibitors,0.0009071653087933859,0.001028127126240482,0.8814900372001305,False,3,30
MET,PARP_inhibitors,0.002289686972896258,0.0026056110160425304,0.8784152905071964,False,3,30
ERBB3,PARP_inhibitors,0.0013521436679487426,0.0015459502639714629,0.8740705499331336,False,3,30
MYCN,EGFR_inhibitors,0.0007277140587878724,0.000832584110321477,0.872994158330615,False,3,30
BCL2,MEK_inhibitors,0.002226275042630732,0.0025673896035489936,0.8667980276646781,False,2,30
NOTCH3,EGFR_inhibitors,0.0011506542408217986,0.001331547482792909,0.8634996168467655,False,3,30
CDKN1A,CDK46_inhibitors,0.005404950585216284,0.006304058774063984,0.8572403174812077,True,1,30
BCL2,PARP_inhibitors,0.002169002934048573,0.0025673896035489936,0.8444991877600855,False,3,30
AKT3,EGFR_inhibitors,0.0021173517840603986,0.0025174207558544973,0.8407458440525691,False,3,30
CCND2,CDK46_inhibitors,0.0007082506199367344,0.0008420900771549593,0.8400651829834768,False,1,30
MGMT,PI3K_inhibitors,0.0024570493260398507,0.0029430128866806625,0.8345919058833139,False,2,30
CDKN2B,PI3K_inhibitors,0.0012194933951832354,0.0014693039372408142,0.8294158536171425,False,2,30
MAPK13,CDK46_inhibitors,0.0019087254768237472,0.002302401652559638,0.8286550783284755,False,1,30
MET,CDK46_inhibitors,0.002153788460418582,0.0026056110160425304,0.8262791982244273,False,1,30
CDKN2B,EGFR_inhibitors,0.0012147969100624323,0.0014693039372408142,0.8262216262184071,False,3,30
MYCN,BRAF_inhibitors,0.0006878957501612604,0.000832584110321477,0.8252265627951677,False,1,30
ERBB3,EGFR_inhibitors,0.001274986503024896,0.0015459502639714629,0.8241935973763252,False,3,30
AKT3,PI3K_inhibitors,0.002066063112579286,0.0025174207558544973,0.8203804339590082,False,2,30
FGFR4,PI3K_inhibitors,0.0019062751671299338,0.002329002848515908,0.8181428483420666,False,2,30
MYCN,PARP_inhibitors,0.0006724989119296273,0.000832584110321477,0.8067559153332154,False,3,30
FGFR3,EGFR_inhibitors,0.0012798792061706383,0.0015876768991195907,0.8056258682177093,False,3,30
FGFR3,PARP_inhibitors,0.001275548633808891,0.0015876768991195907,0.8028999694750844,False,3,30
CCND2,EGFR_inhibitors,0.0006719054460215071,0.0008420900771549593,0.7969557040558212,False,3,30
EGFR,MTOR_inhibitors,0.0015528809744864702,0.0019493516398749005,0.7962056394025824,False,2,30
CCND1,CDK46_inhibitors,0.0015314121264964342,0.0019235458283219486,0.7957265054226867,False,1,30
CCND2,PARP_inhibitors,0.0006692490327016761,0.0008420900771549593,0.7938048980010337,False,3,30
FGFR3,BRAF_inhibitors,0.0012580298352986574,0.0015876768991195907,0.7918726809685654,False,1,30
FGFR1,BRAF_inhibitors,0.0020036406349390745,0.002531776980807384,0.7910845092647539,False,1,30
FGFR1,MTOR_inhibitors,0.002000529086217284,0.002531776980807384,0.7898559965510927,False,2,30
MAP4K1,MTOR_inhibitors,0.0007366414938587695,0.0009423045140768712,0.7809159002908573,False,2,30
EGFR,BRAF_inhibitors,0.0015229876153171062,0.0019493516398749005,0.7808784755423868,False,1,30
KIT,CDK46_inhibitors,0.0007997729117050767,0.001028127126240482,0.777137140118673,False,1,30
MAP4K1,PARP_inhibitors,0.0007239327921221653,0.0009423045140768712,0.7674433667166476,False,3,30
CDKN1A,MTOR_inhibitors,0.004815615247935057,0.006304058774063984,0.7637700805810422,False,2,30
CDKN2A,PARP_inhibitors,0.0015526235414048035,0.0020341128615352015,0.7629176596297323,False,3,30
BCL2A1,PARP_inhibitors,0.0005228869364752123,0.0006844341978042696,0.7628550459697463,False,3,30
