gene_name,abs_mean_delta,rank_in_family,drug_family,is_family_target
BCL2A1,0.000732678163331002,23,CDK46_inhibitors,False
CCND2,0.0007082506199367344,24,CDK46_inhibitors,False
MAP4K1,0.0005351060535758734,25,CDK46_inhibitors,False
CDKN2C,0.00783907761797309,1,PI3K_inhibitors,False
MYC,0.004605304449796677,2,PI3K_inhibitors,False
CDKN1A,0.004387300228700042,3,PI3K_inhibitors,False
MAPK13,0.003997414838522673,4,PI3K_inhibitors,False
ERBB2,0.003440890577621758,5,PI3K_inhibitors,False
MET,0.0030315782059915364,6,PI3K_inhibitors,False
BCL2,0.002824867144227028,7,PI3K_inhibitors,False
MGMT,0.0024570493260398507,8,PI3K_inhibitors,False
FGFR1,0.0022398874862119555,9,PI3K_inhibitors,False
CDKN2A,0.0021632732241414487,10,PI3K_inhibitors,False
AKT3,0.002066063112579286,11,PI3K_inhibitors,False
EGFR,0.002048413851298392,12,PI3K_inhibitors,False
PIK3CD,0.0019440557807683945,13,PI3K_inhibitors,False
FGFR4,0.0019062751671299338,14,PI3K_inhibitors,False
CCND1,0.0019002765184268355,15,PI3K_inhibitors,False
KIT,0.0016644321731291711,16,PI3K_inhibitors,False
ERBB3,0.0015290916780941188,17,PI3K_inhibitors,False
FGFR3,0.0014954488724470139,18,PI3K_inhibitors,False
NOTCH3,0.0013292839867062867,19,PI3K_inhibitors,False
CDKN2B,0.0012194933951832354,20,PI3K_inhibitors,False
FGFR2,0.0011618536082096398,21,PI3K_inhibitors,False
MAP4K1,0.0010044656810350716,22,PI3K_inhibitors,False
BCL2A1,0.0009643439552746713,23,PI3K_inhibitors,False
CCND2,0.0009396873647347093,24,PI3K_inhibitors,False
MYCN,0.0009107647929340601,25,PI3K_inhibitors,False
CDKN2C,0.004855627892538905,1,MTOR_inhibitors,False
CDKN1A,0.004815615247935057,2,MTOR_inhibitors,False
ERBB2,0.004557859152555466,3,MTOR_inhibitors,False
MGMT,0.004354267846792936,4,MTOR_inhibitors,False
MYC,0.003550672670826316,5,MTOR_inhibitors,False
BCL2,0.002966078696772456,6,MTOR_inhibitors,False
MAPK13,0.002841773326508701,7,MTOR_inhibitors,False
MET,0.002577009261585772,8,MTOR_inhibitors,False
CDKN2A,0.0024885445600375533,9,MTOR_inhibitors,False
AKT3,0.002476079622283578,10,MTOR_inhibitors,False
FGFR4,0.0024037559051066637,11,MTOR_inhibitors,False
ERBB3,0.002173083834350109,12,MTOR_inhibitors,False
CCND1,0.002079016121570021,13,MTOR_inhibitors,False
PIK3CD,0.0020050181192345917,14,MTOR_inhibitors,False
