gene_name,DRUG_NAME,drug_family,n_cells,mean_delta_auc,abs_mean_delta,std_delta_auc,is_known_target,is_family_drug
BCL2A1,Trametinib,MEK_inhibitors,189,-0.0016414247220382094,0.0017196903936564922,0.001985010923817754,False,True
BCL2A1,Rapamycin,MTOR_inhibitors,185,0.0008994454983621836,0.0009802752174437046,0.001029863371513784,False,True
BCL2A1,Selumetinib,MEK_inhibitors,322,-0.0007482898654416203,0.0008656316203996539,0.001166293048299849,False,True
BCL2A1,Olaparib,PARP_inhibitors,189,-0.00020290777320042253,0.0004909621784463525,0.0006229454302228987,False,True
BCL2A1,Temsirolimus,MTOR_inhibitors,180,0.0009924734476953745,0.0011177670676261187,0.0013397193979471922,False,True
BCL2A1,Gefitinib,EGFR_inhibitors,186,0.00018275392358191311,0.0003979138855356723,0.00048650463577359915,False,True
BCL2A1,Niraparib,PARP_inhibitors,170,0.00046171509893611073,0.0006897099083289504,0.0007799827144481242,False,True
BCL2A1,Dabrafenib,BRAF_inhibitors,184,-0.0008436925709247589,0.0010090027935802937,0.0020296943839639425,False,True
BCL2A1,Palbociclib,CDK46_inhibitors,190,0.0006543840281665325,0.000732678163331002,0.0007855386356823146,False,True
BCL2A1,Lapatinib,EGFR_inhibitors,189,0.0006128774839453399,0.0007233775686472654,0.0006829513586126268,False,True
BCL2A1,Dihydrorotenone,background,132,-0.001460831263102591,0.0017199218273162842,0.0020003088284283876,False,False
BCL2A1,PRT062607,background,170,0.0010334558319300413,0.001061697257682681,0.0007835013675503433,False,False
BCL2A1,SCH772984,background,186,-0.001055541099049151,0.0011158871930092573,0.0012069584336131811,False,False
BCL2A1,GSK2578215A,background,186,0.00013240723637863994,0.0003908222133759409,0.0004541148373391479,False,False
BCL2A1,KU-55933,background,187,0.0001780585153028369,0.00040421957965008914,0.00046473575639538467,False,False
BCL2A1,Afatinib,background,188,0.000954959134105593,0.0010683287400752306,0.0008706359076313674,False,False
BCL2A1,Obatoclax Mesylate,background,151,-0.0007847857195883989,0.0010794253321364522,0.0012207964900881052,False,False
BCL2A1,MIM1,background,145,-7.741656736470759e-05,0.00043669610749930143,0.0005485881702043116,False,False
BCL2A1,AZD3759,background,189,0.00018533196998760104,0.00039454048965126276,0.0004634763172362,False,False
BCL2A1,720427,background,132,8.883169357432052e-05,0.0003544679202605039,0.00042408870649524033,False,False
BCL2A1,Wee1 Inhibitor,background,186,0.0004032278375234455,0.0006927099311724305,0.000827550480607897,False,False
BCL2A1,Avagacestat,background,189,0.00012617419997695833,0.00035521373501978815,0.0004194789216853678,False,False
BCL2A1,GSK-LSD1-2HCl ,background,146,0.00015939466538839042,0.0004143016703892499,0.00047780611203052104,False,False
BCL2A1,AZD6482,background,56,0.000558568979613483,0.0006459663854911923,0.0006173786823637784,False,False
BCL2A1,UMI-77,background,145,0.0009048638748936355,0.0009274166077375412,0.0006274505867622793,False,False
BCL2A1,Ipatasertib,background,186,0.0004923137021251023,0.0007757193525321782,0.0009286209824495018,False,False
BCL2A1,Cyclophosphamide,background,186,-4.099197394680232e-05,0.00036805099807679653,0.00044825064833275974,False,False
BCL2A1,776928,background,132,8.883169357432052e-05,0.0003544679202605039,0.00042408870649524033,False,False
BCL2A1,Leflunomide,background,170,0.0004567535361275077,0.0005730099510401487,0.0005429712473414838,False,False
BCL2A1,IWP-2,background,170,8.977546531241387e-05,0.00038713181857019663,0.0004594876663759351,False,False
BCL2A1,AZD5582,background,167,0.0009008828201331198,0.001584300771355629,0.0019974440801888704,False,False
BCL2A1,GSK3337463A,background,132,8.883169357432052e-05,0.0003544679202605039,0.00042408870649524033,False,False
BCL2A1,VE-822,background,170,0.0003248586435802281,0.0006109903915785253,0.0007170908502303064,False,False
BCL2A1,Entospletinib,background,170,0.0009096229914575815,0.0009176534949801862,0.0006098821759223938,False,False
BCL2A1,Schweinfurthin A,background,131,0.0005152514204382896,0.000790749560110271,0.0010196721414104104,False,False
BCL2A1,VE821,background,186,-7.352201009780401e-06,0.00035027629928663373,0.0004493992601055652,False,False
BCL2A1,615590,background,132,8.883169357432052e-05,0.0003544679202605039,0.00042408870649524033,False,False
BCL2A1,Mitoxantrone,background,132,-0.0010053664445877075,0.0013019379694014788,0.001411544973962009,False,False
BCL2A1,VTP-A,background,145,6.541136826854199e-05,0.00035762539482675493,0.00042838676017709076,False,False
BCL2A1,KRAS (G12C) Inhibitor-12,background,170,0.00014187868509907275,0.0003905611811205745,0.000464960205135867,False,False
CCND1,Erlotinib,EGFR_inhibitors,185,-0.000252321275183931,0.0017203238094225526,0.002426445484161377,False,True
CCND1,Venetoclax,BCL2_inhibitors,186,-0.0008911811164580286,0.002104193205013871,0.003187002846971154,False,True
CCND1,Alpelisib,PI3K_inhibitors,187,-0.0006720885867252946,0.0015198260080069304,0.001878549694083631,False,True
CCND1,Rucaparib,PARP_inhibitors,189,0.0003838728298433125,0.0011225610505789518,0.0013187106233090162,False,True
CCND1,Navitoclax,BCL2_inhibitors,190,-0.0016807588981464505,0.0032134137582033873,0.003857114352285862,False,True
CCND1,Buparlisib,PI3K_inhibitors,186,0.0019050620030611753,0.0022807270288467407,0.0019875685684382915,False,True
CCND1,Trametinib,MEK_inhibitors,189,0.0001943573442986235,0.003205183893442154,0.0046981871128082275,False,True
CCND1,Rapamycin,MTOR_inhibitors,185,-0.0009152826387435198,0.00179986038710922,0.0022054642904549837,False,True
CCND1,Selumetinib,MEK_inhibitors,322,0.00017359686898998916,0.0018946802010759711,0.002729348838329315,False,True
CCND1,Olaparib,PARP_inhibitors,189,-0.00010641163680702448,0.0014772352296859026,0.00184616819024086,False,True
CCND1,Temsirolimus,MTOR_inhibitors,180,-0.0015166016528382897,0.002358171856030822,0.002838729415088892,False,True
CCND1,Gefitinib,EGFR_inhibitors,186,-0.00033833488123491406,0.0012393007054924965,0.0016690228367224336,False,True
CCND1,Niraparib,PARP_inhibitors,170,0.00021769123850390315,0.0017879075603559613,0.002401897218078375,False,True
CCND1,Dabrafenib,BRAF_inhibitors,184,0.00102242361754179,0.0027088476344943047,0.004704764112830162,False,True
CCND1,Palbociclib,CDK46_inhibitors,190,-0.00079684320371598,0.0015314121264964342,0.0017587876645848155,False,True
CCND1,Lapatinib,EGFR_inhibitors,189,0.001399691798724234,0.0025830839294940233,0.002975896466523409,False,True
CCND1,Dihydrorotenone,background,132,0.002360324142500758,0.003469102317467332,0.0044712284579873085,False,False
CCND1,PRT062607,background,170,0.0006273322505876422,0.0021698814816772938,0.0027935521211475134,False,False
CCND1,SCH772984,background,186,-8.299529872601852e-05,0.002454168163239956,0.003577920375391841,False,False
CCND1,GSK2578215A,background,186,-1.4040739188203588e-05,0.0009787367889657617,0.0012299828231334686,False,False
CCND1,KU-55933,background,187,5.492392665473744e-05,0.0009856622200459242,0.0012372960336506367,False,False
CCND1,Afatinib,background,188,-9.527580550638959e-05,0.0022793584503233433,0.0032269228249788284,False,False
CCND1,Obatoclax Mesylate,background,151,-0.0004254498635418713,0.003704898292198777,0.004715802147984505,False,False
CCND1,MIM1,background,145,-0.00013971698353998363,0.0013795701088383794,0.0016913668951019645,False,False
CCND1,AZD3759,background,189,-0.00016691476048436016,0.001149503281340003,0.0014721880434080958,False,False
CCND1,720427,background,132,-6.791316991439089e-06,0.0010039688786491752,0.0011942539131268859,False,False
CCND1,Wee1 Inhibitor,background,186,0.001637110486626625,0.002364321844652295,0.002452329033985734,False,False
CCND1,Avagacestat,background,189,1.9747112673940137e-05,0.0011242004111409187,0.0014072390040382743,False,False
CCND1,GSK-LSD1-2HCl ,background,146,6.913117977092043e-05,0.0010389379458501935,0.001266203704290092,False,False
CCND1,AZD6482,background,56,-0.0009833009680733085,0.0016415150603279471,0.0017976999515667558,False,False
CCND1,UMI-77,background,145,-0.0011934699723497033,0.00218465318903327,0.0026709609664976597,False,False
CCND1,Ipatasertib,background,186,-0.0009208523551933467,0.0019170530140399933,0.002337099052965641,False,False
CCND1,Cyclophosphamide,background,186,8.760312630329281e-05,0.0009465445182286203,0.0011577722616493702,False,False
CCND1,776928,background,132,-6.791316991439089e-06,0.0010039688786491752,0.0011942539131268859,False,False
CCND1,Leflunomide,background,170,-0.00019294163212180138,0.0012816457310691476,0.00157968420535326,False,False
CCND1,IWP-2,background,170,0.000212318409467116,0.0010414134012535214,0.0012725703418254852,False,False
CCND1,AZD5582,background,167,-0.003881727112457156,0.005151459015905857,0.0065211402252316475,False,False
CCND1,GSK3337463A,background,132,-6.791316991439089e-06,0.0010039688786491752,0.0011942539131268859,False,False
CCND1,VE-822,background,170,0.0019086406100541353,0.002582773333415389,0.0030072475783526897,False,False
CCND1,Entospletinib,background,170,0.0006474260007962584,0.0016324277967214584,0.001983305672183633,False,False
CCND1,Schweinfurthin A,background,131,-0.0020230249501764774,0.0034226493444293737,0.003834732808172703,False,False
CCND1,VE821,background,186,0.0005294606671668589,0.0015853787772357464,0.002092967974022031,False,False
CCND1,615590,background,132,-6.791316991439089e-06,0.0010039688786491752,0.0011942539131268859,False,False
CCND1,Mitoxantrone,background,132,0.0004628761380445212,0.004588432610034943,0.005945954471826553,False,False
CCND1,VTP-A,background,145,1.3590681191999465e-05,0.0010319940047338605,0.0012180156772956252,False,False
CCND1,KRAS (G12C) Inhibitor-12,background,170,0.0006059860461391509,0.0015842182328924537,0.0021246715914458036,False,False
CCND2,Erlotinib,EGFR_inhibitors,185,-0.00031343987211585045,0.0006543694180436432,0.0007551520247943699,False,True
CCND2,Venetoclax,BCL2_inhibitors,186,-0.0006375418743118644,0.0008850712911225855,0.0010168011067435145,False,True
CCND2,Alpelisib,PI3K_inhibitors,187,-0.0004083176318090409,0.0008870341116562486,0.0011136849643662572,False,True
CCND2,Rucaparib,PARP_inhibitors,189,-0.00020598198170773685,0.00048387396964244545,0.0005574751412495971,False,True
CCND2,Navitoclax,BCL2_inhibitors,190,-0.0005338466726243496,0.001530306413769722,0.0019402644829824567,False,True
CCND2,Buparlisib,PI3K_inhibitors,186,-0.0008363879169337451,0.00099234061781317,0.0009204903617501259,False,True
CCND2,Trametinib,MEK_inhibitors,189,0.0007750805234536529,0.0013205374125391245,0.0018801478436216712,False,True
CCND2,Rapamycin,MTOR_inhibitors,185,-0.0003838658449240029,0.000817778636701405,0.0009332526824437082,False,True
CCND2,Selumetinib,MEK_inhibitors,322,3.2222047593677416e-05,0.000707564118783921,0.0010400783503428102,False,True
