DRUG_ID,DRUG_NAME,smiles,cancer_type,seed_drug,mw,logp,qed,tanimoto_to_seed,mean_vh_fp_original,mean_vh_fp,mean_vh_proxy,nn_tanimoto,nn_drug_name,nn_local_idx,nn_has_kg,seed_vh_fp,seed_vh_proxy,seed_nn_drug_name,seed_nn_tanimoto,delta_fp,improved_fp,delta_proxy_fair,improved_proxy_fair
90391,erlotinib_analogue_0391,C#Cc1cccc([C@H]2C[C@H](N)[C@H](O)[C@H](C)O2)c1,TCGA-LUAD,erlotinib,231.29,1.206,0.7142,0.2112676056338028,0.497923,0.497923,0.49018,0.269231,idarubicin,1067,True,0.494369,0.47028,erlotinib,1.0,-0.003554,False,-0.0199,False
90160,erlotinib_analogue_0160,COc1n[nH]c(=O)c2ccccc12,TCGA-LUAD,erlotinib,176.17,0.932,0.7028,0.140625,0.500207,0.500207,0.490187,0.269841,olaparib,219,True,0.494369,0.47028,erlotinib,1.0,-0.005838,False,-0.019907,False
90162,erlotinib_analogue_0162,c1cnc(-c2ncccn2)nc1,TCGA-LUAD,erlotinib,158.16,0.934,0.6192,0.0961538461538461,0.502055,0.502055,0.490214,0.241379,chloroxine,418,True,0.494369,0.47028,erlotinib,1.0,-0.007686,False,-0.019935,False
90056,erlotinib_analogue_0056,COc1nc2cccc3c2n1CCNC3=O,TCGA-LUAD,erlotinib,217.23,0.788,0.7679,0.1506849315068493,0.499187,0.499187,0.490238,0.274194,E7449,256,True,0.494369,0.47028,erlotinib,1.0,-0.004818,False,-0.019958,False
90057,erlotinib_analogue_0057,O=C1NCCn2c(-c3nc4cccc5c4n3CCNC5=O)nc3cccc1c32,TCGA-LUAD,erlotinib,372.39,1.54,0.53,0.1111111111111111,0.499732,0.499732,0.490357,0.293103,E7449,256,True,0.494369,0.47028,erlotinib,1.0,-0.005362,False,-0.020078,False
90011,erlotinib_analogue_0011,Cc1[nH]cnc1-c1nc[nH]c1C,TCGA-LUAD,erlotinib,162.2,1.417,0.6658,0.0862068965517241,0.500707,0.500707,0.490368,0.296296,mercaptopurine,1333,True,0.494369,0.47028,erlotinib,1.0,-0.006337,False,-0.020088,False
90378,erlotinib_analogue_0378,C#Cc1cccc(C(C)C)c1,TCGA-LUAD,erlotinib,144.22,2.791,0.5315,0.2727272727272727,0.502195,0.502195,0.490383,0.297297,metaraminol,1386,True,0.494369,0.47028,erlotinib,1.0,-0.007825,False,-0.020103,False
90223,erlotinib_analogue_0223,C#Cc1cccc(-n2cnc3c(N)nc(Cl)nc32)c1,TCGA-LUAD,erlotinib,269.69,2.032,0.542,0.2222222222222222,0.498812,0.498812,0.490435,0.328125,cladribine,1352,True,0.494369,0.47028,erlotinib,1.0,-0.004442,False,-0.020156,False
90094,erlotinib_analogue_0094,c1nc(-c2c[nH]cn2)c[nH]1,TCGA-LUAD,erlotinib,134.14,0.8,0.6056,0.0701754385964912,0.500889,0.500889,0.490534,0.222222,mercaptopurine,1333,True,0.494369,0.47028,erlotinib,1.0,-0.00652,False,-0.020254,False
90233,erlotinib_analogue_0233,C#Cc1cccc(N2[C@H](C#N)C[C@@H]3C[C@@H]32)c1,TCGA-LUAD,erlotinib,208.26,2.159,0.6612,0.2028985507246377,0.502002,0.502002,0.490637,0.234375,saxagliptin,168,True,0.494369,0.47028,erlotinib,1.0,-0.007633,False,-0.020357,False
90182,erlotinib_analogue_0182,Ic1ccc(-c2ccc(I)cc2)cc1,TCGA-LUAD,erlotinib,406.0,4.563,0.6098,0.0545454545454545,0.500728,0.500728,0.490704,0.181818,iobenguane,746,True,0.494369,0.47028,erlotinib,1.0,-0.006359,False,-0.020424,False
90088,erlotinib_analogue_0088,CO[C@]12O[C@H]1[C@@H]1O[C@]13[C@]1(O[C@H]1C[C@H]1C4=C(CC[C@@]13C)C(=O)OC4)[C@@H]2O,TCGA-LUAD,erlotinib,348.35,0.051,0.5286,0.064516129032258,0.486776,0.486776,0.49077,0.25,eplerenone,460,True,0.494369,0.47028,erlotinib,1.0,0.007594,True,-0.020491,False
90164,erlotinib_analogue_0164,CO[C@H]1C[C@H](N)[C@H](O)[C@H](C)O1,TCGA-LUAD,erlotinib,161.2,-0.544,0.5416,0.0434782608695652,0.500425,0.500425,0.490797,0.328125,idarubicin,1067,True,0.494369,0.47028,erlotinib,1.0,-0.006055,False,-0.020517,False
90192,erlotinib_analogue_0192,C#Cc1cccc(-n2ccc(=NCCCCCCCC)cc2)c1,TCGA-LUAD,erlotinib,306.45,4.72,0.4958,0.2428571428571428,0.502882,0.502882,0.491007,0.478261,octenidine,248,True,0.494369,0.47028,erlotinib,1.0,-0.008513,False,-0.020727,False
90259,erlotinib_analogue_0259,C#Cc1cccc(N2c3ccccc3Sc3ccc(S(C)=O)cc32)c1,TCGA-LUAD,erlotinib,361.49,5.34,0.4496,0.2,0.502019,0.502019,0.491067,0.4,mesoridazine,37,True,0.494369,0.47028,erlotinib,1.0,-0.00765,False,-0.020787,False
90280,erlotinib_analogue_0280,C#Cc1cccc(C(C)O)c1,TCGA-LUAD,erlotinib,146.19,1.721,0.598,0.2631578947368421,0.503028,0.503028,0.49132,0.351351,metaraminol,1386,True,0.494369,0.47028,erlotinib,1.0,-0.008659,False,-0.021041,False
90256,erlotinib_analogue_0256,C#Cc1cccc(-n2c(=O)cc(C)n2C)c1,TCGA-LUAD,erlotinib,212.25,1.466,0.6574,0.2307692307692307,0.501431,0.501431,0.491362,0.611111,phenazone,774,True,0.494369,0.47028,erlotinib,1.0,-0.007062,False,-0.021082,False
90356,erlotinib_analogue_0356,C#Cc1cccc(CC(C)O)c1,TCGA-LUAD,erlotinib,160.22,1.591,0.6513,0.2711864406779661,0.503493,0.503493,0.491738,0.292683,metaraminol,1386,True,0.494369,0.47028,erlotinib,1.0,-0.009123,False,-0.021458,False
90358,erlotinib_analogue_0358,C#Cc1cccc(-c2ncnc3[nH]ccc23)c1,TCGA-LUAD,erlotinib,219.25,2.606,0.639,0.3174603174603174,0.499643,0.499643,0.491884,0.359375,ruxolitinib,865,True,0.494369,0.47028,erlotinib,1.0,-0.005274,False,-0.021604,False
90111,erlotinib_analogue_0111,COC(=O)CCCCC(C)C,TCGA-LUAD,erlotinib,158.24,2.376,0.4533,0.078125,0.501447,0.501447,0.491895,0.240741,capsaicin,823,True,0.494369,0.47028,erlotinib,1.0,-0.007078,False,-0.021615,False
90279,erlotinib_analogue_0279,C#Cc1cccc([C@@H](CC)[C@H](C)O)c1,TCGA-LUAD,erlotinib,188.27,2.542,0.7226,0.2580645161290322,0.504287,0.504287,0.492064,0.302326,metaraminol,1386,True,0.494369,0.47028,erlotinib,1.0,-0.009918,False,-0.021785,False
90246,erlotinib_analogue_0246,C#Cc1cccc([C@H](C)CC[C@@H](O)C(C)C)c1,TCGA-LUAD,erlotinib,230.35,3.569,0.7667,0.2698412698412698,0.503787,0.503787,0.492133,0.318182,metaraminol,1386,True,0.494369,0.47028,erlotinib,1.0,-0.009417,False,-0.021853,False
90075,erlotinib_analogue_0075,Nc1cc(F)ccc1-c1ccc(F)cc1N,TCGA-LUAD,erlotinib,220.22,2.796,0.7259,0.0666666666666666,0.501353,0.501353,0.492242,0.244898,VX-702,284,True,0.494369,0.47028,erlotinib,1.0,-0.006984,False,-0.021963,False
90006,erlotinib_analogue_0006,COc1ccc(O)cc1O,TCGA-LUAD,erlotinib,140.14,1.106,0.6138,0.135593220338983,0.497737,0.497737,0.492263,0.352941,hexylresorcinol,1425,True,0.494369,0.47028,erlotinib,1.0,-0.003367,False,-0.021984,False
90199,erlotinib_analogue_0199,C#Cc1cccc(-n2cnc3c(S)nc(N)nc32)c1,TCGA-LUAD,erlotinib,267.32,1.668,0.3996,0.2222222222222222,0.496935,0.496935,0.492285,0.344262,tioguanine,1140,True,0.494369,0.47028,erlotinib,1.0,-0.002566,False,-0.022006,False
90026,erlotinib_analogue_0026,Ic1cccc(-c2cccc(I)c2)c1,TCGA-LUAD,erlotinib,406.0,4.563,0.6098,0.1071428571428571,0.503664,0.503664,0.492297,0.34375,iobenguane,746,True,0.494369,0.47028,erlotinib,1.0,-0.009295,False,-0.022017,False
90352,erlotinib_analogue_0352,C#Cc1cccc([C@H](CS(=O)(=O)C(C)C)C(C)C)c1,TCGA-LUAD,erlotinib,278.42,3.231,0.7749,0.2424242424242424,0.504248,0.504248,0.492349,0.25,metaraminol,1386,True,0.494369,0.47028,erlotinib,1.0,-0.009878,False,-0.02207,False
90020,erlotinib_analogue_0020,COc1ccc(C(=N)N)cc1,TCGA-LUAD,erlotinib,150.18,0.979,0.4873,0.0967741935483871,0.499115,0.499115,0.492459,0.551724,pentamidine,364,True,0.494369,0.47028,erlotinib,1.0,-0.004746,False,-0.022179,False
90218,erlotinib_analogue_0218,C#Cc1cccc(-c2cccc(I)c2)c1,TCGA-LUAD,erlotinib,304.13,3.94,0.5528,0.2456140350877192,0.50362,0.50362,0.492582,0.268293,iobenguane,746,True,0.494369,0.47028,erlotinib,1.0,-0.00925,False,-0.022303,False
90213,erlotinib_analogue_0213,C#Cc1cccc(-n2cnc3c(N)ncnc32)c1,TCGA-LUAD,erlotinib,235.25,1.379,0.6468,0.2686567164179104,0.497752,0.497752,0.492624,0.305085,vidarabine,1098,True,0.494369,0.47028,erlotinib,1.0,-0.003382,False,-0.022344,False
90063,erlotinib_analogue_0063,CO[C@@]1(C)[C@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,TCGA-LUAD,erlotinib,344.5,3.916,0.7842,0.0549450549450549,0.50848,0.50848,0.492698,0.683333,rimexolone,599,True,0.494369,0.47028,erlotinib,1.0,-0.01411,False,-0.022418,False
90042,erlotinib_analogue_0042,CO[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C,TCGA-LUAD,erlotinib,350.43,2.692,0.7138,0.0549450549450549,0.505431,0.505431,0.492819,0.65625,isoflupredone-acetate,576,True,0.494369,0.47028,erlotinib,1.0,-0.011062,False,-0.02254,False
