DRUG_ID,DRUG_NAME,n_genes_tested,max_abs_delta,mean_abs_delta,top5_genes,n_known_targets
1024,Lestaurtinib,79,0.011529532261192799,0.002898739645687887,CDKN2C|FADS1|IL4R|RPS28P7|TCEAL4,0
1817,Romidepsin,79,0.011494229547679424,0.0026690056576994777,ITM2C|RPS28P7|CDKN1A|MAPK13|TCEAL4,0
1564,SCH772984,79,0.011460958048701286,0.0027128707954978356,CDKN1A|RPS28P7|ITM2C|MYC|TCEAL4,0
1806,Oxaliplatin,79,0.011392936110496521,0.0017850339052391155,CDKN1A|IL4R|RPS28P7|ITM2C|FADS1,0
1558,Lapatinib,79,0.011248314753174782,0.0025072699715530714,ERBB2|RPS28P7|FGFR1|ITM2C|TCEAL4,2
1014,Refametinib,79,0.011023913510143757,0.00311889937383276,CDKN1A|RPS28P7|MYC|CHCHD10|TCEAL4,0
1803,Acetalax,79,0.010967050679028034,0.0030646791933634896,RPS28P7|TCEAL4|ERBB2|CHCHD10|IL4R,0
1862,MG-132,79,0.010822374373674393,0.0031558858456172613,IL4R|RPS28P7|ITM2C|CHCHD10|MGMT,0
1026,Tanespimycin,79,0.010750816203653812,0.0027874670303839294,RPS28P7|TCEAL4|IL4R|GFOD3P|ERBB2,0
1080,Paclitaxel,79,0.010592611506581306,0.0030238275936380313,TCEAL4|RPS28P7|CDKN2C|IL4R|FGFR1,0
1177,Niraparib,79,0.010495413094758987,0.0019537883496082895,CDKN1A|ITM2C|RPS28P7|FADS1|IL4R,0
1079,Dasatinib,79,0.01049006637185812,0.0027092666684979975,RPS28P7|IL4R|ERBB2|CDKN1A|CHCHD10,0
1924,Ipatasertib,79,0.010448863729834557,0.002349092710182613,CDKN2C|RPS28P7|ITM2C|CHCHD10|MYC,0
1060,PD0325901,79,0.010279099456965923,0.002934888613858272,CDKN1A|RPS28P7|MYC|TCEAL4|ITM2C,0
1916,AZD5363,79,0.010239322669804096,0.002513891088929546,CDKN2C|ITM2C|RPS28P7|CHCHD10|BIK,0
1073,5-Fluorouracil,79,0.010216285474598408,0.0019747445413612914,CDKN1A|CHCHD10|IL4R|RPS28P7|TCEAL4,0
1594,OSI-027,79,0.010100945830345154,0.0020191580686376347,ITM2C|RPS28P7|MYC|ERBB2|IL4R,0
1463,AZD1332,79,0.010057114064693451,0.0022365337564120708,CDKN1A|IL4R|RPS28P7|MYC|ITM2C,0
2096,VX-11e,79,0.010020771063864231,0.002465396816694897,RPS28P7|CDKN1A|TCEAL4|CHCHD10|ITM2C,0
1021,Axitinib,79,0.00991883035749197,0.0023248920911964313,IL4R|RPS28P7|CDKN1A|CDKN2C|TCEAL4,0
1845,Schweinfurthin A,79,0.009829224087297916,0.0026946535858596806,FADS1|MYC|RPS28P7|CDKN1A|ITM2C,0
2170,AT13148,79,0.009705721400678158,0.0021077291060038667,RPS28P7|CDKN1A|ITM2C|ETV5|IL4R,0
1932,NVP-ADW742,79,0.009632576256990433,0.0023608051735577703,CDKN1A|RPS28P7|CDKN2C|FADS1|PTPN13,0
1068,Obatoclax Mesylate,79,0.00960953626781702,0.0032045163429354,RPS28P7|TCEAL4|FADS1|IL4R|CHCHD10,0
1191,Bortezomib,79,0.00959615595638752,0.002403569917999137,IL4R|RPS28P7|AKT3|FADS1|ITM2C,0
