gene_name,DRUG_ID,DRUG_NAME,n_test_cells,mean_delta_auc,std_delta_auc,abs_mean_delta,frac_positive,is_known_target
ERBB2,1190,Gemcitabine,188,0.025973724201321602,0.013047128915786743,0.026108011603355408,0.9787234042553191,False
TCEAL4,1022,AZD7762,187,0.02609962597489357,0.011051502078771591,0.026101483032107353,0.9946524064171123,False
TCEAL4,1819,Docetaxel,126,-0.023555539548397064,0.018073871731758118,0.02478744089603424,0.0873015873015873,False
RPS28P7,1847,BEN,132,-0.020624825730919838,0.024156741797924042,0.02408493682742119,0.1893939393939394,False
ERBB2,1248,Daporinad,116,0.023240938782691956,0.015040596947073936,0.02402418479323387,0.9396551724137931,False
CDKN1A,1248,Daporinad,116,0.022561220452189445,0.017834560945630074,0.023400940001010895,0.9051724137931034,False
RPS28P7,1559,Luminespib,187,-0.021139198914170265,0.018836412578821182,0.02295326255261898,0.1497326203208556,False
CDKN1A,1847,BEN,132,-0.02249898575246334,0.016787568107247353,0.022866331040859222,0.03787878787878788,False
MYC,1910,ABT737,186,-0.019956767559051514,0.02497764304280281,0.02259102649986744,0.20430107526881722,False
CDKN2C,1819,Docetaxel,126,-0.022321736440062523,0.015175880864262581,0.022569863125681877,0.03968253968253968,False
NRARP,1248,Daporinad,116,-0.02253733016550541,0.008462930098176003,0.02253733016550541,0.0,False
FADS1,1819,Docetaxel,126,0.019529428333044052,0.020340485498309135,0.022427750751376152,0.8571428571428571,False
MYC,1617,AZD5582,167,0.022076604887843132,0.021083788946270943,0.022256169468164444,0.9520958083832335,False
CDKN1A,1259,Talazoparib,185,-0.021318042650818825,0.015101504512131214,0.021318042650818825,0.0,False
RPS28P7,1259,Talazoparib,185,-0.02076997421681881,0.02049700729548931,0.021193398162722588,0.07567567567567568,False
CDKN1A,1190,Gemcitabine,188,-0.01911459118127823,0.01713617332279682,0.021093934774398804,0.10638297872340426,False
MYC,1626,OTX015,170,-0.021042373031377792,0.014218390919268131,0.02104419656097889,0.0058823529411764705,False
CDKN1A,1511,Epirubicin,186,-0.02087535336613655,0.009176764637231827,0.020899927243590355,0.010752688172043012,False
CDKN1A,1378,Bleomycin (50 uM),147,-0.020799539983272552,0.013981333933770657,0.020852860063314438,0.006802721088435374,False
RPS28P7,1003,Camptothecin,189,-0.020383266732096672,0.015139426104724407,0.02079557254910469,0.05291005291005291,False
MAPK13,1819,Docetaxel,126,-0.020491868257522583,0.009745596908032894,0.020491868257522583,0.0,False
RPS28P7,2055,Mycophenolic acid,145,-0.020215807482600212,0.010823731310665607,0.020272666588425636,0.013793103448275862,False
MYC,2172,JQ1,189,-0.020191816613078117,0.012440194375813007,0.020215844735503197,0.010582010582010581,False
RPS28P7,1086,BI-2536,182,-0.015808535739779472,0.01912911795079708,0.020204201340675354,0.19230769230769232,False
CHCHD10,1494,SN-38,188,0.01625005155801773,0.02473907545208931,0.020103050395846367,0.7340425531914894,False
RPS28P7,1006,Cytarabine,145,-0.019319109618663788,0.015138576738536358,0.020068461075425148,0.06206896551724138,False
RPS28P7,1494,SN-38,188,-0.018201405182480812,0.019556330516934395,0.019983602687716484,0.12234042553191489,False
FADS1,1810,Mitoxantrone,132,0.0197738204151392,0.01315916609019041,0.0197738204151392,1.0,False
RPS28P7,2048,Vinorelbine,187,-0.0183719489723444,0.014468947425484657,0.01957879401743412,0.09090909090909091,False
CHCHD10,1011,Navitoclax,190,0.01944907195866108,0.015225780196487904,0.019471265375614166,0.9789473684210527,False
RPS28P7,1378,Bleomycin (50 uM),147,-0.01734008640050888,0.01752970553934574,0.019335303455591202,0.10884353741496598,False
