gene_name,DRUG_ID,DRUG_NAME,n_test_cells,mean_delta_auc,std_delta_auc,abs_mean_delta,frac_positive,is_known_target
GFOD3P,1192,GSK269962A,56,0.004210478626191616,0.00305373826995492,0.004210478626191616,1.0,False
GFOD3P,1194,SB505124,47,-0.001878045964986086,0.0022596633061766624,0.0023390587884932756,0.2553191489361702,False
GFOD3P,1199,Tamoxifen,186,-0.0009318558149971068,0.0021558229345828295,0.0017587363254278898,0.3655913978494624,False
GFOD3P,1200,Fulvestrant,187,0.0004464853263925761,0.0017857146449387074,0.0015321702230721712,0.6096256684491979,False
GFOD3P,1237,EPZ004777,187,0.0010591764003038406,0.0017728378297761083,0.0017094617942348123,0.7165775401069518,False
GFOD3P,1239,YK-4-279,186,-0.0007057010661810637,0.003094516694545746,0.002496941713616252,0.45161290322580644,False
GFOD3P,1243,Piperlongumine,44,0.0036870159674435854,0.003894207300618291,0.004757978487759829,0.7954545454545454,False
GFOD3P,1248,Daporinad,116,-0.00642307149246335,0.008289257995784283,0.008396506309509277,0.21551724137931033,False
GFOD3P,1249,BMS-345541,170,0.004779616370797157,0.003039780305698514,0.004952738061547279,0.9588235294117647,False
GFOD3P,1250,AZ960,169,0.007361682131886482,0.0038813601713627577,0.007504163309931755,0.9763313609467456,False
GFOD3P,1259,Talazoparib,185,-0.0021873756777495146,0.007290152367204428,0.00532321585342288,0.5243243243243243,False
GFOD3P,1268,XAV939,170,0.0012317110085859895,0.0018673335434868932,0.0018916872795671225,0.7588235294117647,False
GFOD3P,1372,Trametinib,189,0.004972092807292938,0.009493316523730755,0.006397944409400225,0.7513227513227513,False
GFOD3P,1373,Dabrafenib,184,0.002900027669966221,0.003970737103372812,0.00324334972538054,0.8586956521739131,False
GFOD3P,1375,Temozolomide,189,0.0022784972097724676,0.00177738384809345,0.002404622035101056,0.8994708994708994,False
GFOD3P,1378,Bleomycin (50 uM),147,0.006127815693616867,0.007741108071058989,0.007764071691781282,0.8843537414965986,False
GFOD3P,1401,AZD5438,133,0.004425341729074717,0.0029798883479088545,0.004605320282280445,0.9323308270676691,False
GFOD3P,1428,IAP_5620,133,0.0012417673133313656,0.0034325008746236563,0.0026887045241892338,0.6691729323308271,False
GFOD3P,1441,AZD2014,133,0.007380384020507336,0.004871703218668699,0.007426640950143337,0.9548872180451128,False
GFOD3P,1449,AZD1208,132,0.0014714386779814959,0.0020009411964565516,0.0020875665359199047,0.7878787878787878,False
GFOD3P,1463,AZD1332,133,0.002495099790394306,0.0025669271126389503,0.002918486250564456,0.8421052631578947,False
GFOD3P,1494,SN-38,188,0.017129506915807724,0.015125051140785217,0.018065553158521652,0.8882978723404256,False
GFOD3P,1502,Bicalutamide,44,-0.00023822080402169377,0.0018525845371186733,0.001437162864021957,0.5909090909090909,False
GFOD3P,1507,Ruxolitinib,171,0.0026247368659824133,0.002001941902562976,0.0028374940156936646,0.8947368421052632,False
GFOD3P,1510,Linsitinib,188,0.004156587645411491,0.003282634075731039,0.004400039091706276,0.9042553191489362,False
GFOD3P,1511,Epirubicin,186,0.008279887959361076,0.008645015768706799,0.010758427903056145,0.8172043010752689,False
GFOD3P,1512,Cyclophosphamide,186,0.00035751506220549345,0.0018268509302288294,0.001539998804219067,0.6129032258064516,False
GFOD3P,1529,Pevonedistat,184,-0.00024023847072385252,0.006820944137871265,0.005620822310447693,0.4945652173913043,False
GFOD3P,1549,Sapitinib,189,0.001240486977621913,0.0030362268444150686,0.0024167976807802916,0.7037037037037037,False
GFOD3P,1553,Uprosertib,171,0.003932586871087551,0.003648672718554735,0.00429614307358861,0.8538011695906432,False
GFOD3P,1557,LCL161,170,0.0019631418399512768,0.0021354039199650288,0.002476752968505025,0.8176470588235294,False
GFOD3P,1558,Lapatinib,189,0.0024189010728150606,0.002348625333979726,0.002877302933484316,0.8677248677248677,False
GFOD3P,1559,Luminespib,187,0.0072835152968764305,0.004672076087445021,0.007474289275705814,0.9518716577540107,False
GFOD3P,1560,Alpelisib,187,0.00659009488299489,0.005341063253581524,0.006714822258800268,0.9251336898395722,False
GFOD3P,1561,Taselisib,189,0.011529271490871906,0.00900221522897482,0.01158114057034254,0.9735449735449735,False
GFOD3P,1563,EPZ5676,186,0.0012463834136724472,0.0018764103297144175,0.0018999477615579963,0.7365591397849462,False
GFOD3P,1564,SCH772984,186,0.003701259382069111,0.004815930966287851,0.004144341219216585,0.8655913978494624,False
GFOD3P,1576,IWP-2,170,0.0010779682779684663,0.0019250295590609312,0.0018072773236781359,0.7294117647058823,False
GFOD3P,1578,Leflunomide,170,0.0017749803373590112,0.0021754440385848284,0.0023664631880819798,0.7823529411764706,False
GFOD3P,1580,GSK2801,132,0.0016822711331769824,0.0017798227490857244,0.002026053611189127,0.8106060606060606,False
GFOD3P,1581,Bromosporine,132,0.004749261774122715,0.0029102996923029423,0.004758462775498629,0.9848484848484849,False
GFOD3P,1582,SGC-CBP30,132,0.0019732709042727947,0.0020633491221815348,0.0023672773968428373,0.8257575757575758,False
GFOD3P,1583,GSK-LSD1,132,0.0014734064461663365,0.0018617991590872407,0.001967816147953272,0.7651515151515151,False
GFOD3P,1585,BDF00022089a,132,0.0014001094968989491,0.0017731861444190145,0.0019037940073758364,0.7878787878787878,False
GFOD3P,1593,Entinostat,171,0.006088647060096264,0.004809115082025528,0.006508926395326853,0.9181286549707602,False
GFOD3P,1594,OSI-027,188,0.0034575911704450846,0.003136514686048031,0.0036889510229229927,0.8670212765957447,False
GFOD3P,1598,LGK974,187,0.000521675799973309,0.0019306257599964738,0.0016567923594266176,0.6310160427807486,False
GFOD3P,1613,VE-822,170,0.001289112027734518,0.003469463437795639,0.00306869437918067,0.6941176470588235,False
