DRUG_NAME,kg_class,alpha_chembl,alpha_drkg,alpha_primekg
AZD5153,KG-silent,0.0,0.0,0.0
50869,KG-silent,0.0,0.0,0.0
EHT-1864,KG-silent,0.0,0.0,0.0
EPZ004777,KG-silent,0.0,0.0,0.0
EPZ5676,KG-silent,0.0,0.0,0.0
ERK_6604,KG-silent,0.0,0.0,0.0
LCL161,KG-silent,0.0,0.0,0.0
LJI308,KG-silent,0.0,0.0,0.0
LMB_AB1,KG-silent,0.0,0.0,0.0
LMB_AB2,KG-silent,0.0,0.0,0.0
LMB_AB3,KG-silent,0.0,0.0,0.0
LMP744,KG-silent,0.0,0.0,0.0
LY2109761,KG-silent,0.0,0.0,0.0
JAK_8517,KG-silent,0.0,0.0,0.0
JNK Inhibitor VIII,KG-silent,0.0,0.0,0.0
JQ1,KG-silent,0.0,0.0,0.0
KRAS (G12C) Inhibitor-12,KG-silent,0.0,0.0,0.0
KU-55933,KG-silent,0.0,0.0,0.0
L-Oxonoreleagnine,KG-silent,0.0,0.0,0.0
HKMTI-1-005,KG-silent,0.0,0.0,0.0
I-BET-762,KG-silent,0.0,0.0,0.0
I-BRD9,KG-silent,0.0,0.0,0.0
IAP_5620,KG-silent,0.0,0.0,0.0
ICL-SIRT078,KG-silent,0.0,0.0,0.0
IOX2,KG-silent,0.0,0.0,0.0
IWP-2,KG-silent,0.0,0.0,0.0
GSK3337463A,KG-silent,0.0,0.0,0.0
GSK343,KG-silent,0.0,0.0,0.0
GSK591,KG-silent,0.0,0.0,0.0
GSK626616AC,KG-silent,0.0,0.0,0.0
GW441756,KG-silent,0.0,0.0,0.0
Gallibiscoquinazole,KG-silent,0.0,0.0,0.0
NU7441,KG-silent,0.0,0.0,0.0
NVP-ADW742,KG-silent,0.0,0.0,0.0
Nutlin-3a (-),KG-silent,0.0,0.0,0.0
OF-1,KG-silent,0.0,0.0,0.0
N-acetyl cysteine,KG-silent,0.0,0.0,0.0
N25720-51-A1,KG-silent,0.0,0.0,0.0
N27922-53-1,KG-silent,0.0,0.0,0.0
N29087-69-1,KG-silent,0.0,0.0,0.0
N30652-18-1,KG-silent,0.0,0.0,0.0
MIRA-1,KG-silent,0.0,0.0,0.0
ML323,KG-silent,0.0,0.0,0.0
MN-64,KG-silent,0.0,0.0,0.0
Mirin,KG-silent,0.0,0.0,0.0
MG-132,KG-silent,0.0,0.0,0.0
MIM1,KG-silent,0.0,0.0,0.0
Piperlongumine,KG-silent,0.0,0.0,0.0
Podophyllotoxin bromide,KG-silent,0.0,0.0,0.0
Pyridostatin,KG-silent,0.0,0.0,0.0
RO-3306,KG-silent,0.0,0.0,0.0
Remodelin,KG-silent,0.0,0.0,0.0
POMHEX,KG-silent,0.0,0.0,0.0
PRT062607,KG-silent,0.0,0.0,0.0
Picolinici-acid,KG-silent,0.0,0.0,0.0
PBD-288,KG-silent,0.0,0.0,0.0
PCI-34051,KG-silent,0.0,0.0,0.0
PD0325901,KG-silent,0.0,0.0,0.0
PD173074,KG-silent,0.0,0.0,0.0
PF-4708671,KG-silent,0.0,0.0,0.0
CCT007093,KG-silent,0.0,0.0,0.0
CHIR-99021,KG-silent,0.0,0.0,0.0
BIBR-1532,KG-silent,0.0,0.0,0.0
BMS-345541,KG-silent,0.0,0.0,0.0
BMS-536924,KG-silent,0.0,0.0,0.0
BPD-00008900,KG-silent,0.0,0.0,0.0
BX795,KG-silent,0.0,0.0,0.0
Bleomycin,KG-silent,0.0,0.0,0.0
GSK2256098C,KG-silent,0.0,0.0,0.0
GSK2276186C,KG-silent,0.0,0.0,0.0
GSK2578215A,KG-silent,0.0,0.0,0.0
GSK2606414,KG-silent,0.0,0.0,0.0
GSK269962A,KG-silent,0.0,0.0,0.0
GSK2801,KG-silent,0.0,0.0,0.0
GSK2830371,KG-silent,0.0,0.0,0.0
GSK2830371A,KG-silent,0.0,0.0,0.0
GNE-317,KG-silent,0.0,0.0,0.0
GSK-LSD1,KG-silent,0.0,0.0,0.0
GSK-LSD1-2HCl ,KG-silent,0.0,0.0,0.0
GSK1904529A,KG-silent,0.0,0.0,0.0
Eg5_9814,KG-silent,0.0,0.0,0.0
Elephantin,KG-silent,0.0,0.0,0.0
Elesclomol,KG-silent,0.0,0.0,0.0
Schweinfurthin A,KG-silent,0.0,0.0,0.0
SB216763,KG-silent,0.0,0.0,0.0
SB505124,KG-silent,0.0,0.0,0.0
SB590885,KG-silent,0.0,0.0,0.0
SCH772984,KG-silent,0.0,0.0,0.0
Dihydrorotenone,KG-silent,0.0,0.0,0.0
CPI-637,KG-silent,0.0,0.0,0.0
CT7033-2,KG-silent,0.0,0.0,0.0
CZC24832,KG-silent,0.0,0.0,0.0
Bromosporine,KG-silent,0.0,0.0,0.0
PFI-1,KG-silent,0.0,0.0,0.0
PFI3,KG-silent,0.0,0.0,0.0
OTX015,KG-silent,0.0,0.0,0.0
P22077,KG-silent,0.0,0.0,0.0
PAK_5339,KG-silent,0.0,0.0,0.0
Wnt-C59,KG-silent,0.0,0.0,0.0
XAV939,KG-silent,0.0,0.0,0.0
YK-4-279,KG-silent,0.0,0.0,0.0
ZM447439,KG-silent,0.0,0.0,0.0
alpha-lipoic acid,KG-silent,0.0,0.0,0.0
ascorbate (vitamin C),KG-silent,0.0,0.0,0.0
AGI-5198,KG-silent,0.0,0.0,0.0
WEHI-539,KG-silent,0.0,0.0,0.0
WIKI4,KG-silent,0.0,0.0,0.0
AGI-6780,KG-silent,0.0,0.0,0.0
AGK2,KG-silent,0.0,0.0,0.0
150412,KG-silent,0.0,0.0,0.0
123829,KG-silent,0.0,0.0,0.0
AZ6102,KG-silent,0.0,0.0,0.0
AZ960,KG-silent,0.0,0.0,0.0
123138,KG-silent,0.0,0.0,0.0
720427,KG-silent,0.0,0.0,0.0
729189,KG-silent,0.0,0.0,0.0
741909,KG-silent,0.0,0.0,0.0
743380,KG-silent,0.0,0.0,0.0
765771,KG-silent,0.0,0.0,0.0
776928,KG-silent,0.0,0.0,0.0
A-366,KG-silent,0.0,0.0,0.0
ABT737,KG-silent,0.0,0.0,0.0
Telomerase Inhibitor IX,KG-silent,0.0,0.0,0.0
