DRUG_NAME,alpha_chembl,alpha_drkg,alpha_primekg,alpha_total,kg_class,n_test_cells
Temozolomide,0.4460567831993103,0.0,0.5539432764053345,1.0,ChEMBL+PrimeKG,189
Temsirolimus,0.46777379512786865,0.0,0.5322262644767761,1.0,ChEMBL+PrimeKG,180
Teniposide,0.47490498423576355,0.0,0.5250950455665588,1.0,ChEMBL+PrimeKG,132
Selumetinib,0.48623695969581604,0.0,0.5137630701065063,1.0,ChEMBL+PrimeKG,322
Sorafenib,0.0,0.0,1.0,1.0,PrimeKG-dominant,186
Talazoparib,0.5069630146026611,0.0,0.4930369555950165,1.0,ChEMBL+PrimeKG,185
Tamoxifen,0.0,0.0,1.0,1.0,PrimeKG-dominant,186
Tanespimycin,0.47568050026893616,0.0,0.5243194699287415,1.0,ChEMBL+PrimeKG,189
Taselisib,1.0,0.0,0.0,1.0,ChEMBL-only,189
AZD1332,0.0,0.0,0.0,0.0,KG-silent,133
615590,0.0,0.0,0.0,0.0,KG-silent,132
630600,0.0,0.0,0.0,0.0,KG-silent,132
667880,0.0,0.0,0.0,0.0,KG-silent,132
WZ4003,0.0,0.0,0.0,0.0,KG-silent,170
Wee1 Inhibitor,0.0,0.0,0.0,0.0,KG-silent,186
VE821,0.0,0.0,0.0,0.0,KG-silent,186
VTP-A,0.0,0.0,0.0,0.0,KG-silent,145
VTP-B,0.0,0.0,0.0,0.0,KG-silent,145
5-azacytidine,0.0,0.0,0.0,0.0,KG-silent,146
AZD5582,0.0,0.0,0.0,0.0,KG-silent,167
AZD5991,0.0,0.0,0.0,0.0,KG-silent,133
Sepantronium bromide,0.0,0.0,0.0,0.0,KG-silent,186
Serdemetan,0.0,0.0,0.0,0.0,KG-silent,189
Sinularin,0.0,0.0,0.0,0.0,KG-silent,132
THR-101,0.0,0.0,0.0,0.0,KG-silent,147
TW 37,0.0,0.0,0.0,0.0,KG-silent,75
SGC-CBP30,0.0,0.0,0.0,0.0,KG-silent,132
SGC0946,0.0,0.0,0.0,0.0,KG-silent,188
SL0101,0.0,0.0,0.0,0.0,KG-silent,44
Sabutoclax,0.0,0.0,0.0,0.0,KG-silent,170
VX-11e,0.0,0.0,0.0,0.0,KG-silent,187
UMI-77,0.0,0.0,0.0,0.0,KG-silent,145
UNC0379,0.0,0.0,0.0,0.0,KG-silent,146
UNC0638,0.0,0.0,0.0,0.0,KG-silent,145
Ulixertinib,0.0,0.0,0.0,0.0,KG-silent,330
BDF00022089a,0.0,0.0,0.0,0.0,KG-silent,132
BDP-00009066,0.0,0.0,0.0,0.0,KG-silent,145
AZD7762,0.0,0.0,0.0,0.0,KG-silent,187
AZD8055,0.0,0.0,0.0,0.0,KG-silent,147
Afuresertib,0.0,0.0,0.0,0.0,KG-silent,186
AZD3759,0.0,0.0,0.0,0.0,KG-silent,189
AZD4547,0.0,0.0,0.0,0.0,KG-silent,186
AZD5153,0.0,0.0,0.0,0.0,KG-silent,133
50869,0.0,0.0,0.0,0.0,KG-silent,132
EHT-1864,0.0,0.0,0.0,0.0,KG-silent,189
EPZ004777,0.0,0.0,0.0,0.0,KG-silent,187
EPZ5676,0.0,0.0,0.0,0.0,KG-silent,186
ERK_6604,0.0,0.0,0.0,0.0,KG-silent,133
LCL161,0.0,0.0,0.0,0.0,KG-silent,170
LJI308,0.0,0.0,0.0,0.0,KG-silent,187
LMB_AB1,0.0,0.0,0.0,0.0,KG-silent,132
LMB_AB2,0.0,0.0,0.0,0.0,KG-silent,132
LMB_AB3,0.0,0.0,0.0,0.0,KG-silent,132
LMP744,0.0,0.0,0.0,0.0,KG-silent,132
LY2109761,0.0,0.0,0.0,0.0,KG-silent,169
JAK_8517,0.0,0.0,0.0,0.0,KG-silent,133
JNK Inhibitor VIII,0.0,0.0,0.0,0.0,KG-silent,184
JQ1,0.0,0.0,0.0,0.0,KG-silent,189
KRAS (G12C) Inhibitor-12,0.0,0.0,0.0,0.0,KG-silent,170
KU-55933,0.0,0.0,0.0,0.0,KG-silent,187
L-Oxonoreleagnine,0.0,0.0,0.0,0.0,KG-silent,132
HKMTI-1-005,0.0,0.0,0.0,0.0,KG-silent,145
I-BET-762,0.0,0.0,0.0,0.0,KG-silent,170
I-BRD9,0.0,0.0,0.0,0.0,KG-silent,186
IAP_5620,0.0,0.0,0.0,0.0,KG-silent,133
ICL-SIRT078,0.0,0.0,0.0,0.0,KG-silent,145
IOX2,0.0,0.0,0.0,0.0,KG-silent,44
IWP-2,0.0,0.0,0.0,0.0,KG-silent,170
GSK3337463A,0.0,0.0,0.0,0.0,KG-silent,132
GSK343,0.0,0.0,0.0,0.0,KG-silent,315
GSK591,0.0,0.0,0.0,0.0,KG-silent,187
GSK626616AC,0.0,0.0,0.0,0.0,KG-silent,132
GW441756,0.0,0.0,0.0,0.0,KG-silent,186
Gallibiscoquinazole,0.0,0.0,0.0,0.0,KG-silent,132
NU7441,0.0,0.0,0.0,0.0,KG-silent,189
NVP-ADW742,0.0,0.0,0.0,0.0,KG-silent,186
Nutlin-3a (-),0.0,0.0,0.0,0.0,KG-silent,190
OF-1,0.0,0.0,0.0,0.0,KG-silent,170
N-acetyl cysteine,0.0,0.0,0.0,0.0,KG-silent,149
N25720-51-A1,0.0,0.0,0.0,0.0,KG-silent,145
N27922-53-1,0.0,0.0,0.0,0.0,KG-silent,145
N29087-69-1,0.0,0.0,0.0,0.0,KG-silent,145
N30652-18-1,0.0,0.0,0.0,0.0,KG-silent,145
MIRA-1,0.0,0.0,0.0,0.0,KG-silent,189
ML323,0.0,0.0,0.0,0.0,KG-silent,168
MN-64,0.0,0.0,0.0,0.0,KG-silent,170
Mirin,0.0,0.0,0.0,0.0,KG-silent,170
MG-132,0.0,0.0,0.0,0.0,KG-silent,190
MIM1,0.0,0.0,0.0,0.0,KG-silent,145
Piperlongumine,0.0,0.0,0.0,0.0,KG-silent,44
